Column1;player;nationality;position;squad;age;birth_year; value ;height;position2;foot;league;games;games_starts;minutes;goals;assists;pens_made;pens_att;cards_yellow;cards_red;goals_per90;assists_per90;goals_assists_per90;goals_pens_per90;goals_assists_pens_per90;xg;npxg;xa;xg_per90;xa_per90;xg_xa_per90;npxg_per90;npxg_xa_per90;minutes_90s;shots_total;shots_on_target;shots_free_kicks;shots_on_target_pct;shots_total_per90;shots_on_target_per90;goals_per_shot;goals_per_shot_on_target;npxg_per_shot;xg_net;npxg_net;passes_completed;passes;passes_pct;passes_total_distance;passes_progressive_distance;passes_completed_short;passes_short;passes_pct_short;passes_completed_medium;passes_medium;passes_pct_medium;passes_completed_long;passes_long;passes_pct_long;xa_net;assisted_shots;passes_into_final_third;passes_into_penalty_area;crosses_into_penalty_area;progressive_passes;passes_live;passes_dead;passes_free_kicks;through_balls;passes_pressure;passes_switches;crosses;corner_kicks;corner_kicks_in;corner_kicks_out;corner_kicks_straight;passes_ground;passes_low;passes_high;passes_left_foot;passes_right_foot;passes_head;throw_ins;passes_other_body;passes_offsides;passes_oob;passes_intercepted;passes_blocked;sca;sca_per90;sca_passes_live;sca_passes_dead;sca_dribbles;sca_shots;sca_fouled;gca;gca_per90;gca_passes_live;gca_passes_dead;gca_dribbles;gca_shots;gca_fouled;gca_og_for;tackles;tackles_won;tackles_def_3rd;tackles_mid_3rd;tackles_att_3rd;dribble_tackles;dribbles_vs;dribble_tackles_pct;dribbled_past;pressures;pressure_regains;pressure_regain_pct;pressures_def_3rd;pressures_mid_3rd;pressures_att_3rd;blocks;blocked_shots;blocked_shots_saves;blocked_passes;interceptions;clearances;errors;touches;touches_def_pen_area;touches_def_3rd;touches_mid_3rd;touches_att_3rd;touches_att_pen_area;touches_live_ball;dribbles_completed;dribbles;dribbles_completed_pct;players_dribbled_past;nutmegs;carries;carry_distance;carry_progressive_distance;pass_targets;passes_received;passes_received_pct;miscontrols;dispossessed;cards_yellow_red;fouls;fouled;offsides;pens_won;pens_conceded;own_goals;ball_recoveries;aerials_won;aerials_lost;aerials_won_pct
659;Fabio Depaoli;it ITA;MF,DF;Sampdoria;22;1997; 4 000 000.00 € ;182.00;Defender - Right-Back;right;Serie A;29.00;21.00;1854.00;0.00;1.00;0.00;0.00;7.00;0.00;0.00;0.05;0.05;0.00;0.05;1.50;1.50;2.20;0.07;0.11;0.18;0.07;0.18;20.60;28.00;4.00;0.00;14.30;1.36;0.19;0.00;0.00;0.05;-1.50;-1.50;479.00;697.00;68.70;8418.00;3704.00;229.00;273.00;83.90;192.00;265.00;72.50;50.00;111.00;45.00;-1.20;26.00;28.00;24.00;17.00;66.00;624.00;73.00;8.00;2.00;113.00;20.00;61.00;1.00;0.00;1.00;0.00;360.00;181.00;156.00;44.00;539.00;29.00;64.00;3.00;2.00;17.00;19.00;45.00;51.00;2.48;37.00;4.00;3.00;5.00;2.00;3.00;0.15;1.00;0.00;0.00;0.00;2.00;0.00;46.00;26.00;22.00;18.00;6.00;15.00;38.00;39.50;23.00;399.00;91.00;22.80;133.00;165.00;101.00;42.00;3.00;0.00;39.00;14.00;33.00;0.00;948.00;57.00;232.00;405.00;378.00;50.00;876.00;22.00;35.00;62.90;23.00;1.00;581.00;3605.00;2216.00;744.00;562.00;75.50;24.00;25.00;0.00;59.00;30.00;3.00;1.00;1.00;0.00;155.00;25.00;45.00;35.70
660;Memphis Depay;nl NED;FW,MF;Lyon;25;1994; 44 000 000.00 € ;176.00;Forward - Left Winger;right;Ligue 1;13.00;12.00;1018.00;9.00;2.00;1.00;1.00;0.00;0.00;0.80;0.18;0.97;0.71;0.88;5.00;4.20;2.90;0.44;0.26;0.70;0.37;0.63;11.30;46.00;19.00;7.00;41.30;4.07;1.68;0.17;0.42;0.09;4.00;3.80;368.00;485.00;75.90;6161.00;1678.00;208.00;245.00;84.90;110.00;142.00;77.50;42.00;79.00;53.20;-0.90;22.00;30.00;17.00;1.00;44.00;422.00;63.00;22.00;1.00;106.00;27.00;15.00;30.00;9.00;8.00;1.00;343.00;75.00;67.00;54.00;415.00;3.00;3.00;8.00;5.00;11.00;14.00;13.00;53.00;4.69;21.00;12.00;10.00;3.00;6.00;6.00;0.53;2.00;0.00;3.00;0.00;1.00;0.00;9.00;9.00;5.00;2.00;2.00;2.00;8.00;25.00;6.00;159.00;45.00;28.30;21.00;73.00;65.00;4.00;0.00;0.00;4.00;4.00;2.00;0.00;640.00;1.00;40.00;330.00;325.00;58.00;576.00;34.00;53.00;64.20;36.00;1.00;491.00;2971.00;1895.00;670.00;492.00;73.40;36.00;25.00;0.00;8.00;18.00;3.00;1.00;0.00;0.00;53.00;2.00;11.00;15.40
661;Kastriot Dermaku;al ALB;DF;Parma;27;1992; 80 000.00 € ;194.00;Defender - Centre-Back;right;Serie A;16.00;10.00;1026.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.80;0.80;0.00;0.07;0.00;0.07;0.07;0.07;11.40;3.00;2.00;0.00;66.70;0.26;0.18;0.00;0.00;0.25;-0.80;-0.80;321.00;377.00;85.10;7719.00;2397.00;53.00;61.00;86.90;175.00;192.00;91.10;85.00;113.00;75.20;0.00;0.00;14.00;1.00;0.00;22.00;355.00;22.00;14.00;0.00;38.00;13.00;0.00;0.00;0.00;0.00;0.00;260.00;36.00;81.00;32.00;312.00;17.00;2.00;1.00;0.00;5.00;2.00;3.00;4.00;0.35;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.00;6.00;7.00;2.00;0.00;3.00;11.00;27.30;8.00;124.00;37.00;29.80;86.00;37.00;1.00;27.00;18.00;0.00;9.00;7.00;75.00;0.00;501.00;141.00;344.00;174.00;9.00;2.00;480.00;2.00;2.00;100.00;2.00;0.00;259.00;1696.00;976.00;291.00;282.00;96.90;0.00;2.00;0.00;18.00;4.00;0.00;0.00;1.00;0.00;77.00;29.00;11.00;72.50
662;Daniele Dessena;it ITA;MF;Brescia;32;1987; 40 000.00 € ;182.00;Midfielder - Central Midfield;right;Serie A;24.00;22.00;1869.00;2.00;0.00;0.00;0.00;7.00;1.00;0.10;0.00;0.10;0.10;0.10;1.30;1.30;0.20;0.06;0.01;0.07;0.06;0.07;20.80;18.00;5.00;0.00;27.80;0.87;0.24;0.11;0.40;0.07;0.70;0.70;563.00;710.00;79.30;10529.00;3076.00;247.00;283.00;87.30;236.00;270.00;87.40;73.00;134.00;54.50;-0.20;3.00;49.00;10.00;1.00;85.00;685.00;25.00;13.00;1.00;118.00;23.00;11.00;0.00;0.00;0.00;0.00;451.00;111.00;148.00;98.00;551.00;31.00;9.00;7.00;1.00;17.00;13.00;16.00;19.00;0.91;14.00;0.00;0.00;2.00;3.00;3.00;0.14;1.00;0.00;0.00;0.00;2.00;0.00;24.00;15.00;12.00;10.00;2.00;10.00;31.00;32.30;21.00;300.00;72.00;24.00;86.00;149.00;65.00;21.00;3.00;0.00;18.00;6.00;24.00;0.00;875.00;33.00;197.00;535.00;206.00;31.00;851.00;12.00;19.00;63.20;14.00;0.00;606.00;3775.00;1709.00;675.00;589.00;87.30;19.00;20.00;1.00;26.00;20.00;0.00;2.00;1.00;0.00;166.00;22.00;28.00;44.00
663;Mattia Destro;it ITA;FW;Bologna;28;1991; 2 000 000.00 € ;182.00;Forward - Centre-Forward;right;Serie A;5.00;2.00;185.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.40;0.90;0.21;0.43;0.65;0.21;0.65;2.10;4.00;2.00;0.00;50.00;1.95;0.97;0.00;0.00;0.11;-0.40;-0.40;14.00;20.00;70.00;247.00;102.00;6.00;7.00;85.70;6.00;10.00;60.00;1.00;1.00;100.00;-0.90;2.00;2.00;2.00;0.00;5.00;19.00;1.00;1.00;2.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;14.00;3.00;3.00;3.00;15.00;1.00;0.00;1.00;0.00;0.00;1.00;1.00;2.00;0.97;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;0.00;2.00;1.00;1.00;2.00;50.00;1.00;43.00;9.00;20.90;2.00;22.00;19.00;1.00;0.00;0.00;1.00;2.00;0.00;0.00;39.00;0.00;3.00;22.00;15.00;9.00;39.00;1.00;1.00;100.00;1.00;0.00;25.00;127.00;48.00;74.00;25.00;33.80;5.00;3.00;0.00;6.00;2.00;1.00;0.00;0.00;0.00;5.00;2.00;13.00;13.30
664;Mattia Destro;it ITA;FW,MF;Genoa;28;1991; 2 000 000.00 € ;182.00;Forward - Centre-Forward;right;Serie A;8.00;1.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.40;0.00;0.27;0.00;0.27;0.27;0.27;1.70;7.00;4.00;0.00;57.10;4.20;2.40;0.00;0.00;0.06;-0.40;-0.40;20.00;26.00;76.90;223.00;37.00;14.00;16.00;87.50;4.00;5.00;80.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21.00;5.00;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;13.00;10.00;3.00;0.00;19.00;2.00;0.00;4.00;0.00;0.00;0.00;3.00;5.00;3.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;29.00;6.00;20.70;1.00;8.00;20.00;1.00;0.00;0.00;1.00;2.00;0.00;0.00;42.00;1.00;4.00;17.00;21.00;8.00;37.00;3.00;3.00;100.00;3.00;1.00;24.00;135.00;81.00;84.00;26.00;31.00;2.00;1.00;0.00;3.00;2.00;1.00;0.00;0.00;0.00;5.00;4.00;10.00;28.60
665;Gerard Deulofeu;es ESP;FW;Watford;25;1994; 20 000 000.00 € ;177.00;Forward - Left Winger;right;Premier League;28.00;25.00;2098.00;4.00;5.00;1.00;1.00;3.00;0.00;0.17;0.21;0.39;0.13;0.34;5.20;4.50;4.60;0.22;0.20;0.42;0.19;0.39;23.30;63.00;22.00;8.00;34.90;2.70;0.94;0.05;0.14;0.07;-1.20;-1.50;603.00;823.00;73.30;10192.00;2557.00;305.00;362.00;84.30;204.00;256.00;79.70;68.00;132.00;51.50;0.40;45.00;30.00;30.00;2.00;59.00;731.00;92.00;30.00;3.00;178.00;25.00;59.00;33.00;14.00;11.00;4.00;544.00;151.00;128.00;66.00;732.00;9.00;8.00;6.00;4.00;9.00;20.00;48.00;93.00;3.99;51.00;10.00;14.00;7.00;6.00;10.00;0.43;5.00;0.00;1.00;0.00;1.00;0.00;29.00;21.00;15.00;8.00;6.00;13.00;66.00;19.70;53.00;511.00;133.00;26.00;114.00;208.00;189.00;16.00;0.00;0.00;16.00;26.00;6.00;0.00;1126.00;13.00;145.00;431.00;667.00;155.00;1036.00;63.00;108.00;58.30;69.00;2.00;895.00;8040.00;5493.00;1107.00;769.00;69.50;53.00;50.00;0.00;27.00;22.00;18.00;1.00;0.00;0.00;164.00;3.00;15.00;16.70
2240;Oier Sanjurjo;es ESP;MF;Osasuna;33;1986; 800.000,00 € ;178.00;Midfielder - Defensive Midfield;right;LaLiga;29.00;27.00;2320.00;2.00;1.00;0.00;0.00;15.00;1.00;0.08;0.04;0.12;0.08;0.12;2.00;2.00;1.00;0.08;0.04;0.12;0.08;0.12;25.80;17.00;5.00;0.00;29.40;0.66;0.19;0.12;0.40;0.12;0.00;0.00;734.00;1009.00;72.70;13914.00;4352.00;300.00;373.00;80.40;317.00;410.00;77.30;108.00;178.00;60.70;0.00;15.00;92.00;9.00;3.00;101.00;993.00;16.00;13.00;1.00;227.00;23.00;14.00;0.00;0.00;0.00;0.00;474.00;248.00;287.00;134.00;714.00;97.00;3.00;8.00;5.00;23.00;10.00;31.00;36.00;1.40;32.00;0.00;0.00;0.00;3.00;2.00;0.08;2.00;0.00;0.00;0.00;0.00;0.00;69.00;41.00;31.00;30.00;8.00;24.00;56.00;42.90;32.00;510.00;164.00;32.20;138.00;304.00;68.00;50.00;8.00;0.00;42.00;17.00;71.00;1.00;1280.00;63.00;288.00;821.00;217.00;31.00;1267.00;7.00;11.00;63.60;7.00;0.00;609.00;2937.00;1507.00;660.00;593.00;89.80;9.00;20.00;1.00;41.00;41.00;2.00;0.00;0.00;0.00;437.00;71.00;62.00;53.40
667;Samuel Di Carmine;it ITA;FW;Hellas Verona;30;1988; 1 000 000.00 € ;187.00;Forward - Centre-Forward;right;Serie A;22.00;17.00;1293.00;8.00;0.00;1.00;2.00;3.00;0.00;0.56;0.00;0.56;0.49;0.49;6.30;4.80;0.60;0.44;0.04;0.48;0.33;0.38;14.40;30.00;14.00;0.00;46.70;2.09;0.97;0.23;0.50;0.16;1.70;2.20;181.00;256.00;70.70;2206.00;142.00;117.00;155.00;75.50;40.00;61.00;65.60;5.00;8.00;62.50;-0.60;5.00;1.00;2.00;0.00;4.00;229.00;27.00;0.00;1.00;86.00;1.00;9.00;0.00;0.00;0.00;0.00;131.00;89.00;36.00;25.00;174.00;29.00;0.00;6.00;1.00;3.00;0.00;17.00;19.00;1.32;13.00;0.00;0.00;3.00;3.00;2.00;0.14;1.00;0.00;0.00;0.00;1.00;0.00;3.00;2.00;0.00;2.00;1.00;0.00;7.00;0.00;7.00;208.00;57.00;27.40;13.00;74.00;121.00;3.00;0.00;0.00;3.00;0.00;11.00;0.00;387.00;12.00;26.00;164.00;206.00;71.00;360.00;5.00;7.00;71.40;6.00;0.00;221.00;940.00;319.00;610.00;277.00;45.40;28.00;17.00;0.00;33.00;26.00;17.00;2.00;0.00;0.00;49.00;29.00;45.00;39.20
668;Federico Di Francesco;it ITA;FW;SPAL;25;1994; 4 000 000.00 € ;171.00;Forward - Left Winger;right;Serie A;20.00;13.00;1082.00;2.00;0.00;0.00;0.00;4.00;0.00;0.17;0.00;0.17;0.17;0.17;2.40;2.40;1.00;0.20;0.08;0.28;0.20;0.28;12.00;23.00;8.00;1.00;34.80;1.91;0.67;0.09;0.25;0.10;-0.40;-0.40;264.00;346.00;76.30;4256.00;1065.00;142.00;168.00;84.50;87.00;109.00;79.80;25.00;52.00;48.10;-1.00;17.00;9.00;13.00;2.00;27.00;304.00;42.00;15.00;1.00;88.00;9.00;22.00;12.00;8.00;0.00;0.00;217.00;49.00;80.00;36.00;283.00;14.00;4.00;3.00;0.00;6.00;6.00;16.00;41.00;3.41;24.00;3.00;4.00;2.00;6.00;2.00;0.17;1.00;0.00;0.00;0.00;1.00;0.00;7.00;6.00;3.00;3.00;1.00;2.00;18.00;11.10;16.00;169.00;43.00;25.40;26.00;78.00;65.00;13.00;3.00;0.00;10.00;4.00;3.00;0.00;478.00;7.00;61.00;222.00;242.00;49.00;439.00;16.00;28.00;57.10;18.00;2.00;355.00;2645.00;1458.00;488.00;335.00;68.60;24.00;25.00;0.00;19.00;30.00;4.00;1.00;0.00;0.00;71.00;7.00;16.00;30.40
669;Giovanni Di Lorenzo;it ITA;DF;Napoli;25;1993; 16 000 000.00 € ;183.00;Defender - Right-Back;right;Serie A;33.00;33.00;2970.00;3.00;3.00;0.00;0.00;5.00;0.00;0.09;0.09;0.18;0.09;0.18;3.10;3.10;2.80;0.09;0.09;0.18;0.09;0.18;33.00;22.00;6.00;0.00;27.30;0.67;0.18;0.14;0.50;0.14;-0.10;-0.10;2003.00;2274.00;88.10;34218.00;12209.00;975.00;1031.00;94.60;803.00;893.00;89.90;184.00;250.00;73.60;0.20;30.00;134.00;39.00;8.00;173.00;1981.00;293.00;74.00;4.00;293.00;46.00;53.00;0.00;0.00;0.00;0.00;1567.00;457.00;250.00;288.00;1673.00;52.00;219.00;6.00;1.00;19.00;21.00;69.00;63.00;1.91;55.00;2.00;1.00;2.00;2.00;6.00;0.18;5.00;0.00;0.00;1.00;0.00;0.00;62.00;43.00;32.00;21.00;9.00;33.00;72.00;45.80;39.00;398.00;125.00;31.40;179.00;154.00;65.00;48.00;13.00;1.00;35.00;13.00;73.00;0.00;2562.00;152.00;780.00;1291.00;658.00;66.00;2291.00;27.00;41.00;65.90;28.00;4.00;1785.00;9207.00;5615.00;1946.00;1842.00;94.70;28.00;20.00;0.00;32.00;52.00;3.00;0.00;0.00;0.00;234.00;65.00;52.00;55.60
670;Ăngel Di MarĂ­a;ar ARG;FW,MF;Paris S-G;31;1988; 32 000 000.00 € ;180.00;Forward - Right Winger;left;Ligue 1;26.00;23.00;2000.00;8.00;14.00;1.00;2.00;2.00;0.00;0.36;0.63;0.99;0.32;0.95;9.10;7.60;13.90;0.41;0.62;1.03;0.34;0.97;22.20;73.00;22.00;8.00;30.10;3.29;0.99;0.10;0.32;0.10;-1.10;-0.60;940.00;1290.00;72.90;17535.00;5555.00;463.00;538.00;86.10;314.00;411.00;76.40;144.00;278.00;51.80;0.10;76.00;83.00;91.00;14.00;164.00;1149.00;141.00;28.00;16.00;225.00;77.00;92.00;90.00;47.00;24.00;7.00;789.00;212.00;289.00;1159.00;94.00;9.00;21.00;7.00;13.00;24.00;30.00;55.00;137.00;6.17;98.00;22.00;9.00;4.00;2.00;25.00;1.13;17.00;4.00;2.00;1.00;0.00;1.00;21.00;13.00;4.00;9.00;8.00;7.00;42.00;16.70;35.00;410.00;104.00;25.40;67.00;175.00;168.00;20.00;3.00;0.00;17.00;10.00;1.00;0.00;1593.00;8.00;106.00;688.00;923.00;139.00;1452.00;72.00;136.00;52.90;77.00;7.00;1257.00;8241.00;4835.00;1407.00;1235.00;87.80;47.00;43.00;0.00;12.00;22.00;6.00;0.00;0.00;0.00;142.00;1.00;4.00;20.00
671;Boulaye Dia;sn SEN;FW;Reims;22;1996; 4 000 000.00 € ;180.00;Forward - Centre-Forward;right;Ligue 1;24.00;21.00;1812.00;7.00;1.00;1.00;1.00;0.00;0.00;0.35;0.05;0.40;0.30;0.35;5.30;4.60;2.30;0.26;0.11;0.38;0.23;0.34;20.10;39.00;18.00;0.00;46.20;1.94;0.89;0.15;0.33;0.12;1.70;1.40;251.00;328.00;76.50;3609.00;604.00;150.00;181.00;82.90;73.00;100.00;73.00;15.00;19.00;78.90;-1.30;23.00;16.00;12.00;0.00;24.00;297.00;31.00;2.00;0.00;112.00;4.00;9.00;0.00;0.00;0.00;0.00;232.00;64.00;32.00;39.00;250.00;13.00;1.00;8.00;3.00;5.00;8.00;12.00;45.00;2.24;31.00;0.00;5.00;2.00;4.00;5.00;0.25;3.00;0.00;1.00;0.00;1.00;0.00;21.00;13.00;12.00;5.00;4.00;2.00;16.00;12.50;14.00;319.00;92.00;28.80;44.00;143.00;132.00;16.00;2.00;0.00;14.00;9.00;20.00;0.00;579.00;21.00;76.00;278.00;272.00;96.00;548.00;30.00;60.00;50.00;34.00;0.00;389.00;2849.00;1823.00;783.00;384.00;49.00;46.00;45.00;0.00;24.00;25.00;14.00;1.00;0.00;0.00;84.00;27.00;80.00;25.20
672;Fousseni DiabatĂ©;ml MLI;FW,MF;Amiens;23;1995; 2 000 000.00 € ;175.00;Forward - Right Winger;left;Ligue 1;20.00;15.00;1190.00;1.00;3.00;0.00;0.00;3.00;0.00;0.08;0.23;0.30;0.08;0.30;0.80;0.80;1.80;0.06;0.13;0.20;0.06;0.20;13.20;7.00;2.00;0.00;28.60;0.53;0.15;0.14;0.50;0.12;0.20;0.20;362.00;482.00;75.10;5079.00;1361.00;228.00;276.00;82.60;96.00;133.00;72.20;20.00;36.00;55.60;1.20;16.00;18.00;5.00;2.00;34.00;472.00;10.00;4.00;1.00;97.00;9.00;28.00;1.00;0.00;1.00;0.00;335.00;98.00;49.00;345.00;110.00;13.00;5.00;2.00;1.00;7.00;12.00;21.00;25.00;1.89;20.00;2.00;2.00;0.00;1.00;4.00;0.30;3.00;0.00;1.00;0.00;0.00;0.00;18.00;10.00;7.00;7.00;4.00;3.00;11.00;27.30;8.00;378.00;99.00;26.20;100.00;188.00;90.00;15.00;0.00;0.00;15.00;8.00;8.00;1.00;648.00;7.00;110.00;312.00;288.00;46.00;641.00;27.00;45.00;60.00;31.00;2.00;494.00;3525.00;2050.00;626.00;459.00;73.30;43.00;33.00;0.00;12.00;9.00;2.00;0.00;0.00;0.00;115.00;9.00;14.00;39.10
673;Moussa Diaby;fr FRA;FW,MF;Leverkusen;20;1999; 27 000 000.00 € ;170.00;Forward - Left Winger;left;Bundesliga;28.00;18.00;1771.00;5.00;5.00;0.00;0.00;3.00;0.00;0.25;0.25;0.51;0.25;0.51;4.80;4.80;4.70;0.24;0.24;0.48;0.24;0.48;19.70;41.00;23.00;0.00;56.10;2.08;1.17;0.12;0.22;0.12;0.20;0.20;515.00;700.00;73.60;8277.00;1795.00;282.00;330.00;85.50;173.00;234.00;73.90;47.00;89.00;52.80;0.30;34.00;24.00;27.00;14.00;43.00;680.00;20.00;1.00;1.00;191.00;12.00;85.00;1.00;0.00;0.00;1.00;498.00;105.00;97.00;448.00;225.00;4.00;17.00;3.00;0.00;12.00;15.00;36.00;67.00;3.40;48.00;2.00;12.00;2.00;3.00;10.00;0.51;7.00;0.00;2.00;0.00;1.00;0.00;9.00;4.00;3.00;6.00;0.00;2.00;13.00;15.40;11.00;238.00;70.00;29.40;33.00;119.00;86.00;15.00;0.00;0.00;15.00;8.00;1.00;0.00;947.00;9.00;95.00;468.00;502.00;101.00;927.00;72.00;117.00;61.50;81.00;6.00;868.00;7399.00;4408.00;1045.00;770.00;73.70;52.00;58.00;0.00;13.00;20.00;9.00;0.00;0.00;0.00;118.00;3.00;14.00;17.60
674;Mouctar Diakhaby;fr FRA;DF;Valencia;22;1996; 17 000 000.00 € ;192.00;Defender - Centre-Back;right;LaLiga;21.00;15.00;1444.00;0.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;16.00;1.00;1.00;0.00;100.00;0.06;0.06;0.00;0.00;0.04;0.00;0.00;726.00;804.00;90.30;15579.00;4483.00;209.00;226.00;92.50;399.00;423.00;94.30;113.00;147.00;76.90;0.00;1.00;34.00;1.00;1.00;32.00;778.00;26.00;23.00;0.00;77.00;15.00;1.00;0.00;0.00;0.00;0.00;663.00;47.00;94.00;86.00;664.00;34.00;3.00;5.00;4.00;11.00;9.00;4.00;6.00;0.37;5.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.00;10.00;10.00;3.00;1.00;3.00;10.00;30.00;7.00;124.00;39.00;31.50;77.00;42.00;5.00;23.00;14.00;0.00;9.00;4.00;101.00;1.00;956.00;159.00;565.00;436.00;20.00;4.00;930.00;8.00;8.00;100.00;8.00;0.00;656.00;4277.00;2262.00;663.00;648.00;97.70;0.00;4.00;0.00;17.00;14.00;2.00;0.00;1.00;0.00;136.00;35.00;20.00;63.60
675;BafodĂ© DiakitĂ©;fr FRA;DF;Toulouse;18;2001; 7 000 000.00 € ;185.00;Defender - Centre-Back;right;Ligue 1;16.00;16.00;1366.00;2.00;0.00;0.00;0.00;1.00;1.00;0.13;0.00;0.13;0.13;0.13;1.70;1.70;0.00;0.11;0.00;0.11;0.11;0.11;15.20;11.00;5.00;0.00;45.50;0.72;0.33;0.18;0.40;0.16;0.30;0.30;568.00;669.00;84.90;11551.00;3783.00;194.00;213.00;91.10;279.00;305.00;91.50;90.00;138.00;65.20;0.00;1.00;23.00;3.00;2.00;31.00;625.00;44.00;24.00;0.00;95.00;13.00;5.00;0.00;0.00;0.00;0.00;486.00;73.00;110.00;158.00;447.00;30.00;20.00;5.00;0.00;9.00;6.00;8.00;7.00;0.46;6.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21.00;14.00;15.00;6.00;0.00;11.00;19.00;57.90;8.00;122.00;41.00;33.60;83.00;35.00;4.00;23.00;9.00;0.00;14.00;15.00;76.00;3.00;805.00;129.00;441.00;377.00;49.00;11.00;762.00;6.00;9.00;66.70;9.00;0.00;464.00;2787.00;1579.00;509.00;493.00;96.90;0.00;2.00;0.00;5.00;4.00;0.00;0.00;0.00;0.00;131.00;25.00;17.00;59.50
676;Abdou Diallo;fr FRA;DF;Paris S-G;23;1996; 28 000 000.00 € ;187.00;Defender - Centre-Back;left;Ligue 1;16.00;14.00;1201.00;0.00;1.00;0.00;0.00;4.00;0.00;0.00;0.07;0.07;0.00;0.07;0.80;0.80;0.10;0.06;0.01;0.07;0.06;0.07;13.30;5.00;2.00;0.00;40.00;0.37;0.15;0.00;0.00;0.17;-0.80;-0.80;986.00;1061.00;92.90;19786.00;6924.00;337.00;352.00;95.70;490.00;515.00;95.10;149.00;174.00;85.60;0.90;3.00;84.00;5.00;1.00;72.00;1012.00;49.00;20.00;1.00;114.00;13.00;6.00;0.00;0.00;0.00;0.00;893.00;95.00;73.00;849.00;161.00;12.00;29.00;2.00;1.00;13.00;2.00;13.00;10.00;0.75;7.00;1.00;0.00;2.00;0.00;1.00;0.07;1.00;0.00;0.00;0.00;0.00;0.00;17.00;10.00;8.00;8.00;1.00;6.00;15.00;40.00;9.00;150.00;56.00;37.30;74.00;70.00;6.00;22.00;6.00;0.00;16.00;8.00;40.00;0.00;1169.00;95.00;444.00;762.00;73.00;8.00;1122.00;17.00;21.00;81.00;18.00;1.00;894.00;5367.00;3369.00;923.00;906.00;98.20;4.00;6.00;0.00;24.00;7.00;0.00;0.00;0.00;0.00;123.00;17.00;11.00;60.70
677;Habib Diallo;sn SEN;FW;Metz;24;1995; 12 000 000.00 € ;186.00;Forward - Centre-Forward;right;Ligue 1;26.00;26.00;2196.00;12.00;3.00;1.00;3.00;2.00;1.00;0.49;0.12;0.61;0.45;0.57;10.40;8.10;2.40;0.43;0.10;0.53;0.33;0.43;24.40;72.00;26.00;1.00;36.10;2.95;1.07;0.15;0.42;0.11;1.60;2.90;318.00;451.00;70.50;4922.00;682.00;169.00;219.00;77.20;114.00;154.00;74.00;22.00;35.00;62.90;0.60;26.00;16.00;5.00;1.00;19.00;416.00;35.00;0.00;1.00;159.00;5.00;12.00;1.00;1.00;0.00;0.00;261.00;102.00;88.00;48.00;290.00;25.00;2.00;20.00;2.00;11.00;14.00;22.00;56.00;2.30;35.00;0.00;11.00;5.00;4.00;8.00;0.33;4.00;0.00;3.00;1.00;0.00;0.00;3.00;2.00;1.00;1.00;1.00;0.00;8.00;0.00;8.00;463.00;90.00;19.40;20.00;235.00;208.00;10.00;3.00;0.00;7.00;4.00;39.00;0.00;779.00;39.00;73.00;384.00;374.00;109.00;740.00;28.00;53.00;52.80;36.00;3.00;479.00;3219.00;1579.00;1191.00;566.00;47.50;91.00;48.00;0.00;36.00;22.00;17.00;0.00;0.00;0.00;102.00;99.00;161.00;38.10
