name,age,height,citizenship,position,foot,current club,current league
Sébastien Corchia,30,"1,76 m",France  Italy,Defender - Right-Back,right,FC Nantes,Ligue 1
Abdoulaye Touré,26,"1,88 m",France  Guinea,midfield - Defensive Midfield,right,FC Nantes,Ligue 1
Pedro Chirivella,23,"1,78 m",Spain,midfield - Defensive Midfield,right,FC Nantes,Ligue 1
Batista Mendy,20,"1,91 m",France,midfield - Defensive Midfield,right,FC Nantes,Ligue 1
Imrân Louza,21,"1,78 m",France  Morocco,midfield - Central Midfield,left,FC Nantes,Ligue 1
Mehdi Abeid,28,"1,78 m",Algeria  France,midfield - Central Midfield,right,FC Nantes,Ligue 1
Ludovic Blas,23,"1,80 m",France  Martinique,midfield - Attacking Midfield,left,FC Nantes,Ligue 1
Roli Pereira de Sa,24,"1,77 m",France  Portugal,midfield - Attacking Midfield,right,FC Nantes,Ligue 1
Moses Simon,25,"1,68 m",Nigeria,attack - Left Winger,right,FC Nantes,Ligue 1
Anthony Limbombe,26,"1,77 m",Belgium  DR Congo,attack - Left Winger,right,FC Nantes,Ligue 1
Marcus Coco,24,"1,84 m",France  Guadeloupe,attack - Right Winger,right,FC Nantes,Ligue 1
Abdoul Kader Bamba,26,"1,76 m",France  Mali,attack - Right Winger,right,FC Nantes,Ligue 1
Randal Kolo Muani,22,"1,87 m",France  DR Congo,attack - Centre-Forward,right,FC Nantes,Ligue 1
Jean-Kévin Augustin,23,"1,80 m",France  Haiti,attack - Centre-Forward,right,FC Nantes,Ligue 1
Renaud Emond,29,"1,86 m",Belgium,attack - Centre-Forward,right,FC Nantes,Ligue 1
Kalifa Coulibaly,29,"1,97 m",Mali,attack - Centre-Forward,right,FC Nantes,Ligue 1
Bridge Ndilu,20,"1,86 m",France  DR Congo,attack - Centre-Forward,right,FC Nantes,Ligue 1
Benoît Costil,33,"1,88 m",France,Goalkeeper,right,FC Girondins Bordeaux,Ligue 1
Gaëtan Poussin,21,"1,86 m",France,Goalkeeper,right,FC Girondins Bordeaux,Ligue 1
Over Mandanda,22,"1,78 m",France  DR Congo,Goalkeeper,right,FC Girondins Bordeaux,Ligue 1
Pablo,29,"1,88 m",Brazil,Defender - Centre-Back,right,FC Girondins Bordeaux,Ligue 1
Laurent Koscielny,35,"1,86 m",France  Poland,Defender - Centre-Back,right,FC Girondins Bordeaux,Ligue 1
Mexer,32,"1,88 m",Mozambique,Defender - Centre-Back,right,FC Girondins Bordeaux,Ligue 1
Vukasin Jovanovic,24,"1,88 m",Serbia,Defender - Centre-Back,right,FC Girondins Bordeaux,Ligue 1
Paul Baysse,32,"1,85 m",France,Defender - Centre-Back,right,FC Girondins Bordeaux,Ligue 1
Loris Benito,29,"1,84 m",Switzerland  Spain,Defender - Left-Back,left,FC Girondins Bordeaux,Ligue 1
Maxime Poundjé,28,"1,79 m",France  Cameroon,Defender - Left-Back,left,FC Girondins Bordeaux,Ligue 1
Youssouf Sabaly,27,"1,73 m",Senegal  France,Defender - Right-Back,right,FC Girondins Bordeaux,Ligue 1
Enock Kwateng,23,"1,81 m",France  Ghana,Defender - Right-Back,right,FC Girondins Bordeaux,Ligue 1
Ismaël Sow,19,"1,77 m",France  Senegal,Defender - Right-Back,right,FC Girondins Bordeaux B,Ligue 1
Otávio,26,"1,73 m",Brazil,midfield - Defensive Midfield,right,FC Girondins Bordeaux,Ligue 1
David Kong,26,"1,83 m",Macao  Portugal,midfield - Defensive Midfield,right,FC Girondins Bordeaux B,Ligue 1
Toma Basic,24,"1,90 m",Croatia,midfield - Central Midfield,right,FC Girondins Bordeaux,Ligue 1
Ibrahim Diarra,22,"1,75 m",France  Mali,midfield - Left Midfield,left,FC Girondins Bordeaux B,Ligue 1
Yacine Adli,20,"1,86 m",France  Algeria,midfield - Attacking Midfield,right,FC Girondins Bordeaux,Ligue 1
Hatem Ben Arfa,33,"1,79 m",France  Tunisia,midfield - Attacking Midfield,left,FC Girondins Bordeaux,Ligue 1
Mehdi Zerkane,21,"1,86 m",Algeria  France,midfield - Attacking Midfield,left,FC Girondins Bordeaux,Ligue 1
Logan Delaurier-Chaubet,18,"1,73 m",France,attack - Left Winger,left,FC Girondins Bordeaux B,Ligue 1
Samuel Kalu,23,"1,77 m",Nigeria,attack - Right Winger,right,FC Girondins Bordeaux,Ligue 1
Rémi Oudin,24,"1,86 m",France,attack - Right Winger,left,FC Girondins Bordeaux,Ligue 1
Amadou Traoré,18,"1,77 m",France  Guinea,attack - Right Winger,right,FC Girondins Bordeaux B,Ligue 1
Josh Maja,22,"1,81 m",Nigeria  England,attack - Centre-Forward,right,FC Girondins Bordeaux,Ligue 1
