;Players;Values
22;Harvey Barnes;250 Tsd. €  
23;George Thomas;500 Tsd. €  
24;Demarai Gray;20,00 Mio. €  
25;Ahmed Musa;15,00 Mio. €  
26;Layton Ndukwu; 
27;Riyad Mahrez;50,00 Mio. €  
28;Fousseni Diabaté;3,00 Mio. €  
29;Jamie Vardy;20,00 Mio. €  
30;Islam Slimani;18,00 Mio. €  
31;Kelechi Iheanacho;15,00 Mio. €  
32;Shinji Okazaki;6,00 Mio. €  
33;Leonardo Ulloa;5,00 Mio. €  
0;Joe Hart;10,00 Mio. €  
1;Adrián;5,00 Mio. €  
2;Nathan Trott; 
3;Angelo Ogbonna;9,00 Mio. €  
4;Winston Reid;7,00 Mio. €  
5;José Fonte;2,00 Mio. €  
6;Reece Burke;1,00 Mio. €  
7;James Collins;1,00 Mio. €  
8;Josh Pask;100 Tsd. €  
9;Aaron Cresswell;12,00 Mio. €  
10;Arthur Masuaku;7,00 Mio. €  
11;Patrice Evra;1,00 Mio. €  
12;Vashon Neufville; 
13;Pablo Zabaleta;5,00 Mio. €  
14;Sam Byram;4,00 Mio. €  
15;Ben Johnson; 
16;Cheikhou Kouyaté;12,00 Mio. €  
17;Declan Rice;10,00 Mio. €  
18;Reece Oxford;5,00 Mio. €  
19;João Mário;25,00 Mio. €  
20;Pedro Obiang;8,00 Mio. €  
21;Mark Noble;7,00 Mio. €  
22;Edimilson Fernandes;5,00 Mio. €  
23;Josh Cullen;1,00 Mio. €  
24;Moses Makasi; 
25;Domingos Quina; 
26;Manuel Lanzini;20,00 Mio. €  
27;Marcus Browne;250 Tsd. €  
28;André Ayew;15,00 Mio. €  
29;Sead Haksabanovic;1,50 Mio. €  
30;Martin Samuelsen;250 Tsd. €  
31;Nathan Holland; 
32;Grady Diangana; 
33;Robert Snodgrass;7,00 Mio. €  
34;Marko Arnautovic;25,00 Mio. €  
35;Chicharito;15,00 Mio. €  
36;Michail Antonio;15,00 Mio. €  
37;Andy Carroll;10,00 Mio. €  
38;Jordan Hugill;8,00 Mio. €  
39;Diafra Sakho;5,00 Mio. €  
40;Toni Martínez;1,50 Mio. €  
0;Lukasz Fabianski;5,00 Mio. €  
1;Erwin Mulder;2,00 Mio. €  
2;Kristoffer Nordfeldt;1,50 Mio. €  
3;Alfie Mawson;15,00 Mio. €  
4;Federico Fernández;8,00 Mio. €  
5;Kyle Bartley;3,50 Mio. €  
6;Mike van der Hoorn;2,50 Mio. €  
7;Joe Rodon; 
8;Martin Olsson;5,00 Mio. €  
9;Kyle Naughton;5,00 Mio. €  
10;Ángel Rangel;1,00 Mio. €  
11;Connor Roberts;1,00 Mio. €  
12;Leroy Fer;8,00 Mio. €  
13;Sung-yueng Ki;7,00 Mio. €  
14;Adnan Maric;40 Tsd. €  
15;Renato Sanches;20,00 Mio. €  
16;Sam Clucas;8,00 Mio. €  
17;Roque Mesa;7,00 Mio. €  
18;Tom Carroll;7,00 Mio. €  
19;Andy King;3,00 Mio. €  
20;Matt Grimes;1,00 Mio. €  
21;Leon Britton;1,00 Mio. €  
22;Jay Fulton;500 Tsd. €  
23;Adam King;150 Tsd. €  
24;George Byers;50 Tsd. €  
25;Kenji Gorré;250 Tsd. €  
