;Players;Values
9;Gabriele Angella;1,00 Mio. €  
10;Danilo;1,00 Mio. €  
11;Igor Bubnjic;400 Tsd. €  
12;Pawel Bochniewicz;200 Tsd. €  
13;Filip Vasko;100 Tsd. €  
14;Aldo Caiazza;50 Tsd. €  
15;Giuseppe Pezzella;3,00 Mio. €  
16;Ali Adnan;1,80 Mio. €  
17;Silvan Widmer;8,50 Mio. €  
18;Jens Stryger Larsen;2,00 Mio. €  
19;Francesco Zampano;1,80 Mio. €  
20;Andrea Donadello; 
21;Valon Behrami;1,00 Mio. €  
22;Simone Pontisso;200 Tsd. €  
23;Jakub Jankto;15,00 Mio. €  
24;Seko Fofana;9,50 Mio. €  
25;Rodrigo de Paul;6,00 Mio. €  
26;Andrija Balic;3,50 Mio. €  
27;Emil Hallfreðsson;600 Tsd. €  
28;Gaspar Iñíguez;300 Tsd. €  
29;Mak Varesanovic;175 Tsd. €  
30;Luis Ndreu; 
31;Svante Ingelsson;900 Tsd. €  
32;Antonin Barak;14,00 Mio. €  
33;Alexis Zapata;700 Tsd. €  
34;Nicolás Garmendia;100 Tsd. €  
35;Ewandro Costa;1,00 Mio. €  
36;Aly Malle;400 Tsd. €  
37;Nabil Jaadi;100 Tsd. €  
38;Ryder Matos;1,30 Mio. €  
39;Cyril Théréau;1,00 Mio. €  
40;Franck Djoulou;75 Tsd. €  
41;Kevin Lasagna;7,50 Mio. €  
42;Riad Bajić;4,00 Mio. €  
43;Stipe Perica;2,40 Mio. €  
44;Rodrigo Aguirre;1,75 Mio. €  
45;Maxi López;500 Tsd. €  
0;Antonio Mirante;1,00 Mio. €  
1;Angelo da Costa;400 Tsd. €  
2;Antonio Santurro;200 Tsd. €  
3;Federico Ravaglia;100 Tsd. €  
4;Thomas Fantoni; 
5;Lorenzo Bruzzi; 
6;Filip Helander;2,50 Mio. €  
7;Simone Romagnoli;1,50 Mio. €  
8;Giancarlo González;1,40 Mio. €  
9;Sebastien De Maio;1,40 Mio. €  
10;Domenico Maietta;400 Tsd. €  
11;Daniele Gastaldello;300 Tsd. €  
12;Fabrizio Brignani;75 Tsd. €  
13;Adam Masina;7,00 Mio. €  
14;Cheick Keita;1,00 Mio. €  
15;Gianluca Frabotta;125 Tsd. €  
16;Ibrahima Mbaye;3,30 Mio. €  
17;Emil Krafth;1,50 Mio. €  
18;Vasilios Torosidis;700 Tsd. €  
19;Erick Pulgar;6,00 Mio. €  
20;Ádám Nagy;2,80 Mio. €  
21;Lorenzo Crisetig;1,70 Mio. €  
22;Godfred Donsah;10,00 Mio. €  
23;Andrea Poli;4,00 Mio. €  
24;Saphir Taider;3,00 Mio. €  
25;Blerim Dzemaili;2,50 Mio. €  
26;Juan Manuel Valencia;400 Tsd. €  
27;Kingsley Michael; 
28;Ladislav Krejci;3,50 Mio. €  
29;Simone Verdi;25,00 Mio. €  
30;César Falletti;1,50 Mio. €  
31;Federico Di Francesco;3,50 Mio. €  
32;Anthony Mounier;1,75 Mio. €  
33;Riccardo Orsolini;3,50 Mio. €  
34;Orji Okwonkwo;1,00 Mio. €  
35;Filippo Falco;1,50 Mio. €  
36;Cristian Mutton;100 Tsd. €  
37;Mattia Destro;6,00 Mio. €  
38;Felipe Avenatti;1,20 Mio. €  
39;Bruno Petkovic;1,00 Mio. €  
40;Rodrigo Palacio;700 Tsd. €  
0;Alex Meret;12,00 Mio. €  
1;Alfred Gomis;3,00 Mio. €  
2;Gabriele Marchegiani;200 Tsd. €  
3;Giacomo Poluzzi;100 Tsd. €  
4;Luca Seri;25 Tsd. €  
5;Francesco Vicari;2,00 Mio. €  
6;Bartosz Salamon;1,40 Mio. €  
7;Lorenco Simic;1,20 Mio. €  
8;Marios Ikonomou;1,00 Mio. €  
9;Thiago Cionek;800 Tsd. €  
10;Felipe;500 Tsd. €  
11;Michele Cremonesi;400 Tsd. €  
12;Sauli Väisänen;400 Tsd. €  
13;Daniele Gasparetto;300 Tsd. €  
14;Fabio Della Giovanna;200 Tsd. €  
15;Lorenzo Polvani;150 Tsd. €  
16;Giacomo Boccafoglia;100 Tsd. €  
17;Renato;50 Tsd. €  
18;Filippo Costa;1,00 Mio. €  
19;Boukary Dramé;400 Tsd. €  
20;Pa Konate;300 Tsd. €  
21;Federico Mattiello;2,50 Mio. €  
22;Federico Viviani;3,50 Mio. €  
23;Everton Luiz;2,00 Mio. €  
24;Salvatore Esposito; 
25;Alberto Grassi;7,00 Mio. €  
26;Jasmin Kurtic;5,00 Mio. €  
27;Luca Rizzo;2,00 Mio. €  
28;Pasquale Schiattarella;1,20 Mio. €  
29;Luca Mora;700 Tsd. €  
30;Mattia Vitale;500 Tsd. €  
31;Alessandro Bellemo;100 Tsd. €  
32;Eros Schiavon;100 Tsd. €  
33;Manuel Lazzari;6,00 Mio. €  
34;Francesco Pio Russo; 
35;Alberto Paloschi;3,50 Mio. €  
36;Mirco Antenucci;1,50 Mio. €  
37;Federico Bonazzoli;1,50 Mio. €  
38;Marco Borriello;400 Tsd. €  
39;Sergio Floccari;300 Tsd. €  
40;Leonardo Ubaldi;100 Tsd. €  
41;Gabriel Barbosa;75 Tsd. €  
0;Stefano Sorrentino;800 Tsd. €  
1;Andrea Seculin;300 Tsd. €  
2;Alessandro Confente;100 Tsd. €  
3;Filippo Pavoni;75 Tsd. €  
4;Mattia Bani;2,50 Mio. €  
5;Nenad Tomović;1,50 Mio. €  
6;Dario Dainelli;300 Tsd. €  
7;Alessandro Gamberini;250 Tsd. €  
8;Michele Rigione;250 Tsd. €  
9;Bostjan Cesar;200 Tsd. €  
10;Strahinja Tanasijevic;200 Tsd. €  
11;Pawel Jaroszynski;500 Tsd. €  
12;Massimo Gobbi;300 Tsd. €  
13;Fabio Depaoli;1,80 Mio. €  
14;Fabrizio Cacciatore;1,20 Mio. €  
15;Nicolas Frey;200 Tsd. €  
16;Ivan Radovanovic;3,50 Mio. €  
17;Lucas Castro;7,00 Mio. €  
18;Perparim Hetemaj;3,50 Mio. €  
19;Samuel Bastien;2,50 Mio. €  
20;Nicola Rigoni;1,20 Mio. €  
21;Sofian Kiyine;1,00 Mio. €  
22;Gianluca Gaudino;500 Tsd. €  
23;Antonio Cinelli;400 Tsd. €  
24;Mehdi Léris;300 Tsd. €  
25;Emanuele Giaccherini;1,00 Mio. €  
26;Valter Birsa;4,00 Mio. €  
27;Luca Garritano;1,00 Mio. €  
28;Kevin Yamga;250 Tsd. €  
29;Emanuel Vignato;800 Tsd. €  
30;Manuel Pucciarelli;2,50 Mio. €  
31;Riccardo Meggiorini;600 Tsd. €  
32;Roberto Inglese;10,00 Mio. €  
33;Mariusz Stepinski;4,00 Mio. €  
34;Alejandro Rodríguez;500 Tsd. €  
35;Sergio Pellissier;200 Tsd. €  
0;Nícolas;900 Tsd. €  
1;Marco Silvestri;350 Tsd. €  
2;Ferdinando Coppola;50 Tsd. €  
3;Nicola Borghetto;50 Tsd. €  
4;Martín Cáceres;2,50 Mio. €  
5;Jagos Vukovic;2,00 Mio. €  
6;Thomas Heurtaux;1,80 Mio. €  
7;Alex Ferrari;1,50 Mio. €  
8;Antonio Caracciolo;800 Tsd. €  
9;Matteo Bianchetti;800 Tsd. €  
10;Riccardo Brosco;750 Tsd. €  
11;Samuel Souprayen;700 Tsd. €  
12;Alejandro González;300 Tsd. €  
13;Nicolò Cherubin;250 Tsd. €  
14;Deian Boldor;200 Tsd. €  
15;Marash Kumbulla; 
16;Gian Filippo Felicioli;500 Tsd. €  
17;Michelangelo Albertazzi;250 Tsd. €  
18;Bruno Zuculini;2,50 Mio. €  
19;Andrea Danzi;200 Tsd. €  
20;Daniel Bessa;4,00 Mio. €  
21;Rômulo;3,00 Mio. €  
22;Marco Fossati;1,50 Mio. €  
23;Mattia Valoti;1,00 Mio. €  
24;Marcel Büchel;1,00 Mio. €  
25;Franco Zuculini;600 Tsd. €  
26;Simone Calvano;400 Tsd. €  
27;Simon Laner;50 Tsd. €  
28;Enrico Bearzotti;300 Tsd. €  
29;Mohamed Fares;4,50 Mio. €  
30;Mattia Zaccagni;500 Tsd. €  
31;Simon Stefanec;250 Tsd. €  
32;Seung-woo Lee;1,00 Mio. €  
33;Rolando Aarons;700 Tsd. €  
34;Daniele Verde;3,50 Mio. €  
35;Alessio Cerci;2,00 Mio. €  
36;Ryder Matos;1,30 Mio. €  
37;Moise Kean;12,00 Mio. €  
38;Bruno Petkovic;1,00 Mio. €  
39;Giampaolo Pazzini;800 Tsd. €  
40;Lubomir Tupta;300 Tsd. €  
0;Vid Belec;1,70 Mio. €  
1;Alberto Brignoli;1,00 Mio. €  
2;Christian Puggioni;300 Tsd. €  
3;Riccardo Piscitelli;75 Tsd. €  
4;Thomas Candeloro;25 Tsd. €  
5;Gianluca Volzone; 
6;Alin Tosca;1,50 Mio. €  
7;Berat Djimsiti;1,00 Mio. €  
8;Andreaw Gravillon;1,00 Mio. €  
9;Jean-Claude Billong;900 Tsd. €  
10;Luca Antei;800 Tsd. €  
11;Michele Camporese;700 Tsd. €  
12;Andrea Costa;700 Tsd. €  
13;Fabio Lucioni;400 Tsd. €  
14;Luca Sparandeo;75 Tsd. €  
15;Christian Rutjens;50 Tsd. €  
16;Gianluca Di Chiara;1,50 Mio. €  
17;Achraf Lazaar;1,00 Mio. €  
18;Gaetano Letizia;1,50 Mio. €  
19;Lorenzo Venuti;1,50 Mio. €  
20;Bacary Sagna;800 Tsd. €  
21;Bright Gyamfi;400 Tsd. €  
22;Sandro;2,50 Mio. €  
23;Danilo Cataldi;4,00 Mio. €  
24;Raman Chibsah;1,50 Mio. €  
25;Nicolas Viola;1,40 Mio. €  
26;Ledian Memushaj;800 Tsd. €  
27;Mirko Eramo;500 Tsd. €  
28;Lorenzo Del Pinto;400 Tsd. €  
29;Giovanni Volpicelli;100 Tsd. €  
30;Alessio Donnarumma;75 Tsd. €  
31;Siriki Sanogo; 
32;Marco D'Alessandro;2,50 Mio. €  
33;Filip Djuricic;1,50 Mio. €  
34;Mamadou Kanoute;300 Tsd. €  
35;Guilherme;4,00 Mio. €  
36;Amato Ciciretti;2,50 Mio. €  
37;Vittorio Parigini;1,10 Mio. €  
38;Cristiano Lombardi;800 Tsd. €  
39;Enrico Brignola;2,50 Mio. €  
40;Cheick Diabaté;4,00 Mio. €  
41;George Pușcaș;2,80 Mio. €  
42;Fabio Ceravolo;2,00 Mio. €  
43;Pietro Iemmello;2,00 Mio. €  
44;Samuel Armenteros;1,50 Mio. €  
45;Massimo Coda;1,40 Mio. €  
46;Karamoko Cissé;700 Tsd. €  
47;Vincenzo Pinto; 
0;Alex Cordaz;1,00 Mio. €  
1;Marco Festa;200 Tsd. €  
2;Aniello Viscovo;200 Tsd. €  
3;Francesco Latella; 
4;Giacomo Figliuzzi; 
5;Federico Ceccherini;2,80 Mio. €  
6;Marco Capuano;1,00 Mio. €  
7;Arlind Ajeti;1,00 Mio. €  
8;Noë Dussenne;700 Tsd. €  
9;Stefan Simic;600 Tsd. €  
10;Leandro Cabrera;600 Tsd. €  
11;Giuseppe Cuomo;200 Tsd. €  
12;Bruno Martella;2,20 Mio. €  
13;Daniel Pavlovic;400 Tsd. €  
14;Davide Faraoni;1,00 Mio. €  
15;Mario Sampirisi;900 Tsd. €  
16;Rolando Mandragora;10,00 Mio. €  
17;Aristóteles Romero;800 Tsd. €  
18;Ahmad Benali;2,50 Mio. €  
19;Andrea Barberis;2,00 Mio. €  
20;Marcus Rohdén;1,50 Mio. €  
21;Giovanni Crociata;500 Tsd. €  
22;Niccolò Zanellato;400 Tsd. €  
23;Mariano Izco;300 Tsd. €  
24;Cazim Suljic;150 Tsd. €  
25;Pasquale Giannotti;50 Tsd. €  
26;Oliver Kragl;1,30 Mio. €  
27;Andrej Kotnik;100 Tsd. €  
28;Adrian Stoian;1,80 Mio. €  
29;Aleksandar Tonev;700 Tsd. €  
30;Moussa Diaby;500 Tsd. €  
31;Federico Ricci;2,70 Mio. €  
32;Andrea Nalini;1,00 Mio. €  
33;Maxwell Acosty;950 Tsd. €  
34;Giuseppe Borello;200 Tsd. €  
35;Marcello Trotta;3,50 Mio. €  
36;Ante Budimir;1,50 Mio. €  
37;Simy;1,50 Mio. €  
38;Marco Tumminello;1,00 Mio. €  
39;Luka Markovic;100 Tsd. €  
0;Keylor Navas;18,00 Mio. €  
1;Kiko Casilla;6,00 Mio. €  
2;Luca Zidane;300 Tsd. €  
3;Moha Ramos; 
4;Raphaël Varane;70,00 Mio. €  
5;Sergio Ramos;45,00 Mio. €  
6;Nacho Fernández;30,00 Mio. €  
7;Jesús Vallejo;12,00 Mio. €  
8;Manu Hernando;200 Tsd. €  
9;Marcelo;60,00 Mio. €  
10;Theo Hernández;15,00 Mio. €  
11;Luismi Quezada;300 Tsd. €  
12;Daniel Carvajal;60,00 Mio. €  
13;Álvaro Tejero;300 Tsd. €  
14;Casemiro;60,00 Mio. €  
15;Toni Kroos;80,00 Mio. €  
16;Mateo Kovacic;30,00 Mio. €  
17;Luka Modric;25,00 Mio. €  
18;Dani Ceballos;12,00 Mio. €  
19;Jaime Seoane;250 Tsd. €  
20;Achraf Hakimi;5,00 Mio. €  
21;Isco;75,00 Mio. €  
22;Óscar Rodríguez;800 Tsd. €  
23;Cristiano Ronaldo;100,00 Mio. €  
24;Marco Asensio;75,00 Mio. €  
25;Gareth Bale;90,00 Mio. €  
26;Lucas Vázquez;25,00 Mio. €  
27;Franchu;200 Tsd. €  
28;Marcos Llorente;12,00 Mio. €  
29;Karim Benzema;40,00 Mio. €  
30;Borja Mayoral;7,50 Mio. €  
31;Cristo;500 Tsd. €  
0;Marc-André ter Stegen;60,00 Mio. €  
1;Jasper Cillessen;9,00 Mio. €  
2;Adrián Ortolá;1,50 Mio. €  
3;Samuel Umtiti;60,00 Mio. €  
4;Gerard Piqué;50,00 Mio. €  
5;Yerry Mina;9,00 Mio. €  
6;Thomas Vermaelen;5,00 Mio. €  
7;David Costas;3,50 Mio. €  
8;Jordi Alba;60,00 Mio. €  
9;Lucas Digne;15,00 Mio. €  
10;Sergi Roberto;55,00 Mio. €  
11;Nélson Semedo;30,00 Mio. €  
12;Aleix Vidal;7,50 Mio. €  
13;Sergio Busquets;80,00 Mio. €  
14;Javier Mascherano;5,00 Mio. €  
15;Sergi Samper;2,50 Mio. €  
16;Oriol Busquets;2,50 Mio. €  
17;Ivan Rakitic;50,00 Mio. €  
18;Paulinho;40,00 Mio. €  
19;André Gomes;15,00 Mio. €  
20;Carles Aleñá;10,00 Mio. €  
21;Andrés Iniesta;10,00 Mio. €  
22;Marc Cucurella;5,00 Mio. €  
23;Philippe Coutinho;100,00 Mio. €  
24;Rafinha;28,00 Mio. €  
25;Denis Suárez;15,00 Mio. €  
26;Gerard Deulofeu;14,00 Mio. €  
27;José Manuel Arnáiz;5,00 Mio. €  
28;Arda Turan;4,00 Mio. €  
29;Lionel Messi;180,00 Mio. €  
30;Ousmane Dembélé;80,00 Mio. €  
31;Luis Suárez;70,00 Mio. €  
32;Paco Alcácer;15,00 Mio. €  
0;Jan Oblak;70,00 Mio. €  
1;Miguel Ángel Moyá;2,00 Mio. €  
2;Axel Werner;1,00 Mio. €  
3;Miguel San Román;250 Tsd. €  
4;Álex Dos Santos; 
5;José Giménez;45,00 Mio. €  
6;Stefan Savic;40,00 Mio. €  
7;Diego Godín;35,00 Mio. €  
8;Antonio Montoro;300 Tsd. €  
9;Lucas Hernández;35,00 Mio. €  
10;Filipe Luís;8,00 Mio. €  
11;Sergi González;300 Tsd. €  
12;Sime Vrsaljko;25,00 Mio. €  
13;Juanfran;5,00 Mio. €  
14;Carlos Isaac;200 Tsd. €  
15;Thomas Partey;25,00 Mio. €  
16;Gabi;3,00 Mio. €  
17;Koke;70,00 Mio. €  
18;Saúl Ñíguez;70,00 Mio. €  
19;Augusto Fernández;2,50 Mio. €  
20;Keidi Bare;500 Tsd. €  
21;Toni Moya;300 Tsd. €  
22;Roberto Olabe;250 Tsd. €  
23;Nico Gaitán;8,00 Mio. €  
24;Yannick Carrasco;25,00 Mio. €  
25;Vitolo;25,00 Mio. €  
26;Ángel Correa;24,00 Mio. €  
27;Arona Sané;250 Tsd. €  
28;Juan Moreno;100 Tsd. €  
29;Juan Agüero; 
30;Antoine Griezmann;100,00 Mio. €  
31;Diego Costa;60,00 Mio. €  
32;Kévin Gameiro;20,00 Mio. €  
33;Luciano Vietto;6,00 Mio. €  
34;Fernando Torres;4,00 Mio. €  
35;Alberto Ródenas;200 Tsd. €  
0;Neto;15,00 Mio. €  
1;Jaume Doménech;2,50 Mio. €  
2;Cristian Rivero;250 Tsd. €  
3;Gabriel Paulista;20,00 Mio. €  
4;Jeison Murillo;15,00 Mio. €  
5;Ezequiel Garay;12,00 Mio. €  
6;Rúben Vezo;6,00 Mio. €  
7;Javi Jiménez;300 Tsd. €  
8;José Gayà;35,00 Mio. €  
9;Toni Lato;8,00 Mio. €  
10;João Cancelo;35,00 Mio. €  
11;Martín Montoya;8,00 Mio. €  
12;Nacho Vidal;1,00 Mio. €  
13;Francis Coquelin;12,00 Mio. €  
14;Geoffrey Kondogbia;30,00 Mio. €  
15;Carlos Soler;30,00 Mio. €  
16;Dani Parejo;20,00 Mio. €  
17;Nemanja Maksimovic;3,00 Mio. €  
18;Álvaro Medrán;1,80 Mio. €  
19;Gonzalo Villar;200 Tsd. €  
20;Andreas Pereira;6,00 Mio. €  
21;Gonçalo Guedes;40,00 Mio. €  
22;Nacho Gil;800 Tsd. €  
23;Ferran Torres;5,00 Mio. €  
24;Fabián Orellana;2,00 Mio. €  
25;Rober Ibáñez;1,20 Mio. €  
26;Rodrigo;40,00 Mio. €  
27;Simone Zaza;22,00 Mio. €  
28;Santi Mina;20,00 Mio. €  
29;Luciano Vietto;6,00 Mio. €  
0;Antonio Adán;5,00 Mio. €  
1;Pedro López;250 Tsd. €  
2;Dani Giménez;200 Tsd. €  
3;Dani Rebollo; 
4;Marc Bartra;17,50 Mio. €  
5;Aïssa Mandi;9,00 Mio. €  
6;Jordi Amat;5,00 Mio. €  
7;Zouhair Feddal;3,00 Mio. €  
8;Alin Tosca;1,50 Mio. €  
9;Riza Durmisi;5,00 Mio. €  
10;Júnior Firpo;5,00 Mio. €  
11;Carlos Redruello;200 Tsd. €  
12;Antonio Barragán;2,50 Mio. €  
13;Francis Guerrero;2,50 Mio. €  
14;Rafa Navarro;500 Tsd. €  
15;Javi García;4,00 Mio. €  
16;Fabián Ruiz;20,00 Mio. €  
17;Víctor Camarasa;6,00 Mio. €  
18;Andrés Guardado;5,00 Mio. €  
19;Ryad Boudebouz;8,00 Mio. €  
20;Julio Gracia;300 Tsd. €  
21;Cristian Tello;6,00 Mio. €  
22;Matías Nahuel;1,00 Mio. €  
23;Joel Campbell;3,00 Mio. €  
24;Joaquín;500 Tsd. €  
25;Aitor Ruibal;300 Tsd. €  
26;Antonio Sanabria;7,50 Mio. €  
27;Loren Morón;7,50 Mio. €  
28;Sergio León;5,00 Mio. €  
29;Juanjo Narváez;500 Tsd. €  
30;Rubén Castro;500 Tsd. €  
0;Sergio Rico;12,00 Mio. €  
1;David Soria;4,00 Mio. €  
2;Juan Soriano;600 Tsd. €  
3;Clément Lenglet;25,00 Mio. €  
4;Simon Kjaer;10,00 Mio. €  
5;Gabriel Mercado;5,00 Mio. €  
6;Daniel Carriço;1,00 Mio. €  
7;Nicolás Pareja;800 Tsd. €  
8;Sergio Escudero;7,50 Mio. €  
9;Guilherme Arana;5,00 Mio. €  
10;Lionel Carole;3,00 Mio. €  
11;Jesús Navas;5,00 Mio. €  
12;Sébastien Corchia;4,00 Mio. €  
13;Alejandro Pozo;2,00 Mio. €  
14;Steven Nzonzi;30,00 Mio. €  
15;Guido Pizarro;7,50 Mio. €  
16;Johannes Geis;5,00 Mio. €  
17;Éver Banega;12,00 Mio. €  
18;Roque Mesa;7,00 Mio. €  
19;Michael Krohn-Dehli;800 Tsd. €  
20;Miguel Layún;5,00 Mio. €  
21;Franco Vázquez;7,50 Mio. €  
22;Ganso;2,00 Mio. €  
23;Borja Lasso;1,00 Mio. €  
24;Nolito;5,00 Mio. €  
25;José Alonso Lara;500 Tsd. €  
26;Pablo Sarabia;20,00 Mio. €  
27;Walter Montoya;4,00 Mio. €  
28;Joaquín Correa;10,00 Mio. €  
29;Wissam Ben Yedder;28,00 Mio. €  
30;Luis Muriel;12,00 Mio. €  
31;Sandro Ramírez;10,00 Mio. €  
32;Carlos Fernández;1,00 Mio. €  
0;Gero Rulli;10,00 Mio. €  
1;Miguel Ángel Moyá;2,00 Mio. €  
2;Toño;400 Tsd. €  
3;Andoni Zubiaurre;300 Tsd. €  
4;Iñigo Martínez;32,00 Mio. €  
5;Diego Llorente;17,50 Mio. €  
6;Aritz Elustondo;5,00 Mio. €  
7;Héctor Moreno;4,00 Mio. €  
8;Raúl Navas;3,00 Mio. €  
9;Kévin Rodrigues;2,00 Mio. €  
10;Alberto de la Bella;1,20 Mio. €  
11;Álvaro Odriozola;25,00 Mio. €  
12;Andoni Gorosabel;1,00 Mio. €  
13;Carlos Martínez;500 Tsd. €  
14;Asier Illarramendi;20,00 Mio. €  
15;Igor Zubeldia;5,00 Mio. €  
16;Xabi Prieto;3,00 Mio. €  
17;David Zurutuza;3,00 Mio. €  
18;Rubén Pardo;1,50 Mio. €  
19;Jon Guridi;300 Tsd. €  
20;Ander Guevara;250 Tsd. €  
21;Sergio Canales;5,00 Mio. €  
22;Mikel Oyarzabal;35,00 Mio. €  
23;Adnan Januzaj;12,00 Mio. €  
24;Carlos Vela;8,50 Mio. €  
25;Juanmi;7,50 Mio. €  
26;David Concha;800 Tsd. €  
27;Willian José;25,00 Mio. €  
28;Jon Bautista;2,00 Mio. €  
29;Imanol Agirretxe;1,00 Mio. €  
0;Rubén Blanco;3,00 Mio. €  
1;Sergio Álvarez;2,00 Mio. €  
2;Iván Villar;300 Tsd. €  
3;Dani Sotres;200 Tsd. €  
4;Fran Vieites; 
5;Sergi Gómez;8,00 Mio. €  
6;Andreu Fontàs;3,00 Mio. €  
7;Gustavo Cabral;2,50 Mio. €  
8;Diego Alende;300 Tsd. €  
9;Jonny Otto;12,00 Mio. €  
10;Robert Mazan;800 Tsd. €  
11;Diego Pampín;250 Tsd. €  
12;Daniel Wass;15,00 Mio. €  
13;Hugo Mallo;12,00 Mio. €  
14;Facundo Roncaglia;3,00 Mio. €  
15;Stanislav Lobotka;15,00 Mio. €  
16;Nemanja Radoja;6,00 Mio. €  
17;Pablo Hernández;5,00 Mio. €  
18;Jozabed Sánchez;2,00 Mio. €  
19;Dani Molina;250 Tsd. €  
20;Pione Sisto;15,00 Mio. €  
21;Dejan Drazic;500 Tsd. €  
22;Víctor Pastrana;150 Tsd. €  
23;Brais Méndez;3,50 Mio. €  
24;Emre Mor;3,00 Mio. €  
25;Andrew Hjulsager;800 Tsd. €  
26;Maxi Gómez;25,00 Mio. €  
27;Iago Aspas;25,00 Mio. €  
28;John Guidetti;5,00 Mio. €  
29;Claudio Beauvue;2,50 Mio. €  
30;Lucas Boyé;1,50 Mio. €  
31;Dennis Eckert Ayensa;500 Tsd. €  
0;Sergio Asenjo;8,00 Mio. €  
1;Andrés Fernández;800 Tsd. €  
2;Mariano Barbosa;800 Tsd. €  
3;Ander Cantero;300 Tsd. €  
4;Víctor Ruiz;12,00 Mio. €  
5;Álvaro González;9,00 Mio. €  
6;Rúben Semedo;1,00 Mio. €  
7;Pau Torres;500 Tsd. €  
8;Daniele Bonera;200 Tsd. €  
9;Genís Montolio;100 Tsd. €  
10;Pepe Castaño; 
11;Jaume Costa;9,00 Mio. €  
12;Adrián Marín;1,00 Mio. €  
13;Mario Gaspar;18,00 Mio. €  
14;Antonio Rukavina;1,00 Mio. €  
15;Rodri;25,00 Mio. €  
16;Alfred N'Diaye;5,00 Mio. €  
17;Javi Fuego;1,00 Mio. €  
18;Bruno Soriano;1,00 Mio. €  
19;Manu Trigueros;20,00 Mio. €  
20;Roberto Soriano;7,50 Mio. €  
21;Ramiro Guerra;300 Tsd. €  
22;Imanol García;300 Tsd. €  
23;Manu Morlanes;100 Tsd. €  
24;Pedro Martínez;100 Tsd. €  
25;Sergio Lozano;50 Tsd. €  
26;Pablo Fornals;25,00 Mio. €  
27;Chuca;500 Tsd. €  
28;Nicola Sansone;7,50 Mio. €  
29;Denis Cheryshev;3,00 Mio. €  
30;Salem Al-Dawsari;800 Tsd. €  
31;Mario González;200 Tsd. €  
32;Samu Castillejo;15,00 Mio. €  
33;Dani Raba;2,00 Mio. €  
34;Leo Suárez;400 Tsd. €  
35;Cédric Bakambu;22,00 Mio. €  
36;Carlos Bacca;10,00 Mio. €  
37;Enes Ünal;8,00 Mio. €  
38;Roger Martínez;2,50 Mio. €  
39;Darío Poveda;200 Tsd. €  
0;Kepa;20,00 Mio. €  
1;Iago Herrerín;3,00 Mio. €  
2;Unai Simón;500 Tsd. €  
3;Aymeric Laporte;50,00 Mio. €  
4;Iñigo Martínez;32,00 Mio. €  
5;Yeray Álvarez;15,00 Mio. €  
6;Unai Núñez;15,00 Mio. €  
7;Xabi Etxeita;2,00 Mio. €  
8;Óscar Gil;400 Tsd. €  
9;Dani Vivian;50 Tsd. €  
10;Mikel Balenziaga;4,00 Mio. €  
11;Enric Saborit;800 Tsd. €  
12;Andoni López;600 Tsd. €  
13;Iñigo Lekue;7,50 Mio. €  
14;Óscar de Marcos;6,00 Mio. €  
15;Eneko Bóveda;1,50 Mio. €  
16;Mikel San José;9,00 Mio. €  
17;Ander Iturraspe;5,00 Mio. €  
18;Mikel Vesga;2,50 Mio. €  
19;Peru Nolaskoain;300 Tsd. €  
20;Beñat Etxebarria;4,00 Mio. €  
21;Mikel Rico;1,50 Mio. €  
22;Víctor San Bartolomé;50 Tsd. €  
23;Ager Aketxe;2,50 Mio. €  
24;Iker Muniain;10,00 Mio. €  
25;Iñigo Córdoba;5,00 Mio. €  
26;Markel Susaeta;9,00 Mio. €  
27;Iñigo Muñoz;200 Tsd. €  
28;Iñaki Williams;30,00 Mio. €  
29;Raúl García;9,00 Mio. €  
30;Sabin Merino;1,50 Mio. €  
31;Aritz Aduriz;1,00 Mio. €  
32;Kike Sola;500 Tsd. €  
0;Pau López;5,00 Mio. €  
1;Diego López;500 Tsd. €  
2;Adri López; 
3;Edu Frias; 
4;Mario Hermoso;5,00 Mio. €  
5;Naldo;1,00 Mio. €  
6;Óscar Duarte;1,00 Mio. €  
7;Sergio Sánchez;1,00 Mio. €  
8;Aarón Martín;12,00 Mio. €  
9;Dídac Vilà;1,00 Mio. €  
10;Marc Navarro;2,00 Mio. €  
11;Javi López;1,00 Mio. €  
12;David López;8,00 Mio. €  
13;Carlos Sánchez;2,00 Mio. €  
14;Pape Diop;1,00 Mio. €  
15;Javi Fuego;1,00 Mio. €  
16;Marc Roca;800 Tsd. €  
17;Sergi Darder;11,00 Mio. €  
18;Víctor Sánchez;3,50 Mio. €  
19;Esteban Granero;1,50 Mio. €  
20;José Manuel Jurado;2,50 Mio. €  
21;Pablo Piatti;6,00 Mio. €  
22;Leo Baptistão;6,00 Mio. €  
23;Hernán Pérez;1,20 Mio. €  
24;Óscar Melendo;1,00 Mio. €  
25;Gerard Moreno;20,00 Mio. €  
26;Sergio García;1,50 Mio. €  
27;Álvaro Vázquez;1,00 Mio. €  
28;Jairo Morillas;300 Tsd. €  
0;Vicente Guaita;5,00 Mio. €  
1;Emiliano Martínez;1,00 Mio. €  
2;Filip Manojlovic;800 Tsd. €  
3;Djené;15,00 Mio. €  
4;Juan Cala;1,70 Mio. €  
5;Bruno González;1,00 Mio. €  
6;Nicolás Gorosito;600 Tsd. €  
7;Leandro Cabrera;600 Tsd. €  
8;Alberto Redondo; 
9;David Alba; 
10;Miguel Rubio; 
