,,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
150,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,30-267,1990,11.0,13,1,0,2,1,12.2,0.29,+0.2,+0.02,35,59,59.3,295,49,16.9,28.1,71,12.7,22.2,82,3,3.7,10,0.91,15.3,Matches
151,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Milan,it Serie A,34-336,1986,1.0,3,1,0,2,0,2.9,0.35,-0.1,-0.05,2,5,40.0,23,7,13.0,21.8,4,50.0,30.8,3,1,33.3,0,0.00,8.1,Matches
152,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,28-255,1992,12.0,11,0,0,3,0,13.0,0.30,+2.0,+0.18,67,104,64.4,299,62,26.1,30.4,59,44.1,38.6,64,7,10.9,8,0.73,16.8,Matches
153,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30-186,1990,15.0,23,4,1,2,1,21.3,0.28,-0.7,-0.05,126,298,42.3,469,70,50.5,39.5,106,57.5,46.0,129,12,9.3,10,0.71,14.6,Matches
154,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,es La Liga,31-287,1989,3.0,3,0,0,0,0,2.4,0.27,-0.6,-0.21,14,32,43.8,86,15,32.6,31.7,8,50.0,38.3,19,1,5.3,2,0.67,14.9,Matches
155,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,es La Liga,25-105,1995,1.0,2,0,0,0,0,2.6,0.64,+0.6,+0.56,2,11,18.2,18,4,44.4,37.7,11,27.3,30.5,7,0,0.0,1,1.00,18.8,Matches
156,Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,es La Liga,23-185,1997,7.0,10,2,0,0,1,8.6,0.32,-0.4,-0.05,30,96,31.3,150,28,46.7,39.2,56,46.4,40.8,67,5,7.5,8,1.14,17.2,Matches
157,Rubén Yáñez\Ruben-Yanez,es ESP,GK,Getafe,es La Liga,27-090,1993,4.0,3,1,0,0,0,3.1,0.30,+0.1,+0.01,44,93,47.3,93,10,81.7,53.2,20,85.0,61.3,34,5,14.7,4,1.00,16.4,Matches
158,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,de Bundesliga,26-074,1994,14.0,28,4,1,3,1,20.5,0.27,-4.5,-0.34,61,189,32.3,370,95,35.1,34.9,106,55.7,47.3,130,10,7.7,12,0.92,14.0,Matches
159,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Köln,de Bundesliga,31-333,1989,0.6,1,1,0,0,0,0.7,0.01,-0.3,-0.46,6,11,54.5,17,4,35.3,35.0,6,83.3,49.7,10,0,0.0,0,0.00,11.8,Matches
160,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,Spezia,it Serie A,30-004,1991,1.7,4,1,0,1,0,3.0,0.40,-1.0,-0.60,9,20,45.0,52,11,34.6,33.0,8,25.0,30.8,16,0,0.0,0,0.00,8.1,Matches
