name,age,height,citizenship,position,foot,current club,18/19 games,18/19 goals,18/19 assists,18/19 minutes,19/20 games,19/20 goals,19/20 assists,19/20 minutes,20/21 games,20/21 goals,20/21 assists,20/21 minutes,current league
Jonathan Burkardt,20,181.0,Germany,Forward - Centre-Forward,right,1.FSV Mainz 05,18.0,8.0,1417.0,0.0,11.0,2.0,377.0,0.0,10.0,0.0,447.0,0.0,Bundesliga
Ádám Szalai,33,193.0,Hungary,Forward - Centre-Forward,right,1.FSV Mainz 05,37.0,6.0,2016.0,0.0,28.0,2.0,1212.0,0.0,1.0,1.0,30.0,0.0,Bundesliga
"Dong-won Ji,29,187.0,""Korea, South"",Forward - Centre-Forward,right,1.FSV Mainz 05,16.0,4.0,982.0,0.0,4.0,0.0,100.0,0.0,5.0,0.0,51.0,0.0,Bundesliga"
Cyrill Akono,20,190.0,Germany  Cameroon,Forward - Centre-Forward,left,1.FSV Mainz 05 II,27.0,14.0,1843.0,0.0,18.0,3.0,1116.0,0.0,5.0,1.0,223.0,0.0,Bundesliga
Tomas Koubek,28,197.0,Czech Republic,Goalkeeper,right,FC Augsburg,48.0,0.0,4364.0,0.0,26.0,0.0,2340.0,0.0,0.0,0.0,0.0,0.0,Bundesliga
Andreas Luthe,33,195.0,Germany,Goalkeeper,right,1.FC Union Berlin,17.0,0.0,1550.0,0.0,10.0,0.0,900.0,0.0,11.0,0.0,1020.0,0.0,Bundesliga
Fabian Giefer,30,196.0,Germany,Goalkeeper,right,Würzburger Kickers,4.0,0.0,360.0,0.0,2.0,0.0,210.0,0.0,11.0,0.0,990.0,0.0,Bundesliga
Benjamin Leneis,21,195.0,Germany,Goalkeeper,both,FC Augsburg,10.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1035.0,0.0,Bundesliga
Jeffrey Gouweleeuw,29,187.0,Netherlands,Defender - Centre-Back,right,FC Augsburg,28.0,0.0,2422.0,0.0,21.0,0.0,1642.0,0.0,11.0,0.0,990.0,0.0,Bundesliga
Tin Jedvaj,25,188.0,Croatia,Defender - Centre-Back,right,Bayer 04 Leverkusen,21.0,2.0,1470.0,0.0,31.0,2.0,2642.0,0.0,4.0,0.0,258.0,0.0,Bundesliga
Felix Uduokhai,23,192.0,Germany  Nigeria,Defender - Centre-Back,left,FC Augsburg,12.0,0.0,235.0,0.0,27.0,0.0,1991.0,0.0,11.0,1.0,990.0,0.0,Bundesliga
Marek Suchy,32,183.0,Czech Republic,Defender - Centre-Back,right,FC Augsburg,25.0,2.0,2084.0,0.0,8.0,0.0,485.0,0.0,2.0,0.0,90.0,0.0,Bundesliga
Jozo Stanic,21,184.0,Croatia  Germany,Defender - Centre-Back,right,FSV Zwickau,29.0,0.0,2475.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,2321.0,0.0,Bundesliga
Philipp Max,27,177.0,Germany,Defender - Left-Back,left,PSV Eindhoven,34.0,4.0,2995.0,0.0,31.0,8.0,2714.0,0.0,16.0,2.0,1342.0,0.0,Bundesliga
Iago,23,181.0,Brazil  Italy,Defender - Left-Back,left,FC Augsburg,11.0,0.0,990.0,0.0,10.0,1.0,671.0,0.0,9.0,0.0,810.0,0.0,Bundesliga
Mads Pedersen,24,174.0,Denmark,Defender - Left-Back,left,FC Augsburg,28.0,0.0,2207.0,0.0,5.0,0.0,283.0,0.0,1.0,0.0,90.0,0.0,Bundesliga
Raphael Framberger,25,179.0,Germany,Defender - Right-Back,right,FC Augsburg,8.0,0.0,667.0,0.0,18.0,0.0,1171.0,0.0,9.0,0.0,657.0,0.0,Bundesliga
Stephan Lichtsteiner,36,182.0,Switzerland,Defender - Right-Back,right,Retired,23.0,1.0,1732.0,0.0,20.0,0.0,1346.0,0.0,,,,,Bundesliga
Georg Teigl,29,183.0,Austria,Defender - Right-Back,right,Austria Vienna,7.0,0.0,412.0,0.0,4.0,0.0,199.0,0.0,10.0,0.0,742.0,0.0,Bundesliga
