;Players;Values
6;Matthew Connolly;750 Tsd. €  
7;Ciaron Brown; 
8;Joe Bennett;3,00 Mio. €  
9;Greg Cunningham;3,00 Mio. €  
10;Lee Peltier;1,50 Mio. €  
11;Jazz Richards;750 Tsd. €  
12;Cameron Coxe; 
13;Víctor Camarasa;10,00 Mio. €  
14;Harry Arter;7,00 Mio. €  
15;Joe Ralls;5,00 Mio. €  
16;Leandro Bacuna;3,00 Mio. €  
17;Aron Gunnarsson;2,50 Mio. €  
18;Loïc Damour;750 Tsd. €  
19;Stuart O'Keefe;500 Tsd. €  
20;Lloyd Humphries; 
21;Kadeem Harris;750 Tsd. €  
22;Josh Murphy;10,00 Mio. €  
23;Junior Hoilett;4,50 Mio. €  
24;Nathaniel Mendez-Laing;3,00 Mio. €  
25;Bobby Reid;10,00 Mio. €  
26;Lee Tomlin;2,00 Mio. €  
27;Kenneth Zohore;7,00 Mio. €  
28;Oumar Niasse;6,00 Mio. €  
29;Callum Paterson;5,00 Mio. €  
30;Gary Madine;4,00 Mio. €  
31;Danny Ward;1,50 Mio. €  
32;Omar Bogle;500 Tsd. €  
33;Rhys Healey;250 Tsd. €  
34;Jack McKay; 
0;Sergio Rico;12,00 Mio. €  
1;Marcus Bettinelli;4,00 Mio. €  
2;Fabri;4,00 Mio. €  
3;Alfie Mawson;15,00 Mio. €  
4;Calum Chambers;14,00 Mio. €  
5;Maxime Le Marchand;5,00 Mio. €  
6;Tim Ream;4,00 Mio. €  
7;Havard Nordtveit;4,00 Mio. €  
8;Marcelo Djaló;500 Tsd. €  
9;Ryan Sessegnon;35,00 Mio. €  
10;Joe Bryan;6,00 Mio. €  
11;Timothy Fosu-Mensah;7,00 Mio. €  
12;Cyrus Christie;3,50 Mio. €  
13;Denis Odoi;2,50 Mio. €  
14;Steven Sessegnon; 
15;André Zambo Anguissa;25,00 Mio. €  
16;Kevin McDonald;3,00 Mio. €  
17;Ibrahima Cissé;1,50 Mio. €  
18;Jean Michaël Seri;25,00 Mio. €  
19;Tom Cairney;15,00 Mio. €  
20;Stefan Johansen;4,00 Mio. €  
21;Matt O'Riley; 
22;Luca de la Torre;500 Tsd. €  
23;André Schürrle;12,00 Mio. €  
24;Ryan Babel;5,00 Mio. €  
25;Neeskens Kebano;3,00 Mio. €  
26;Floyd Ayité;2,50 Mio. €  
27;Lazar Markovic;4,00 Mio. €  
28;Aboubakar Kamara;2,75 Mio. €  
29;Harvey Elliott; 
30;Aleksandar Mitrovic;25,00 Mio. €  
31;Luciano Vietto;7,00 Mio. €  
32;Rui Fonte;2,50 Mio. €  
0;Jonas Lössl;5,00 Mio. €  
1;Ben Hamer;500 Tsd. €  
2;Joel Coleman;500 Tsd. €  
3;Ryan Schofield;100 Tsd. €  
4;Terence Kongolo;15,00 Mio. €  
5;Christopher Schindler;7,00 Mio. €  
6;Zanka;5,00 Mio. €  
7;Chris Löwe;2,00 Mio. €  
8;Erik Durm;2,00 Mio. €  
9;Florent Hadergjonaj;7,00 Mio. €  
10;Tommy Smith;3,00 Mio. €  
11;Demeaco Duhaney; 
12;Danny Williams;2,00 Mio. €  
13;Jon Gorenc Stankovic;1,50 Mio. €  
14;Aaron Mooy;14,00 Mio. €  
15;Philip Billing;7,00 Mio. €  
16;Jonathan Hogg;3,50 Mio. €  
17;Juninho Bacuna;3,50 Mio. €  
18;Alex Pritchard;9,00 Mio. €  
19;Jason Puncheon;3,00 Mio. €  
20;Abdelhamid Sabiri;1,50 Mio. €  
21;Jack Payne;350 Tsd. €  
22;Matty Daly; 
23;Adama Diakhaby;8,00 Mio. €  
24;Ramadan Sobhi;5,00 Mio. €  
25;Isaac Mbenza;5,00 Mio. €  
26;Rajiv van La Parra;4,00 Mio. €  
27;Aaron Rowe; 
28;Steve Mounié;10,00 Mio. €  
29;Karlan Grant;5,00 Mio. €  
30;Laurent Depoitre;3,50 Mio. €  
31;Elias Kachunga;3,00 Mio. €  
32;Collin Quaner;1,50 Mio. €  
0;Wojciech Szczesny;35,00 Mio. €  
1;Emil Audero;15,00 Mio. €  
2;Mattia Perin;13,00 Mio. €  
3;Carlo Pinsoglio;500 Tsd. €  
4;Laurentiu Branescu;300 Tsd. €  
5;Mattia Del Favero;100 Tsd. €  
6;Leonardo Bonucci;28,00 Mio. €  
7;Daniele Rugani;22,00 Mio. €  
8;Medhi Benatia;9,00 Mio. €  
9;Giorgio Chiellini;7,50 Mio. €  
10;Martín Cáceres;1,50 Mio. €  
11;Andrea Barzagli;1,00 Mio. €  
12;Luca Marrone;800 Tsd. €  
13;Dario Del Fabro;350 Tsd. €  
14;Stefano Pellizzari;100 Tsd. €  
15;Luca Coccolo;50 Tsd. €  
16;Paolo Gozzi; 
17;Alex Sandro;45,00 Mio. €  
18;Leonardo Spinazzola;15,00 Mio. €  
19;Rogério;10,00 Mio. €  
20;João Cancelo;55,00 Mio. €  
21;Juan Cuadrado;18,00 Mio. €  
22;Mattia De Sciglio;14,00 Mio. €  
23;Francesco Pezziardi;50 Tsd. €  
24;Miralem Pjanic;70,00 Mio. €  
25;Emre Can;40,00 Mio. €  
26;Daouda Peeters;50 Tsd. €  
27;Rodrigo Bentancur;35,00 Mio. €  
28;Blaise Matuidi;22,00 Mio. €  
29;Stefano Sturaro;10,00 Mio. €  
30;Sami Khedira;7,00 Mio. €  
31;Hans Nicolussi Caviglia;500 Tsd. €  
32;Simone Muratore;125 Tsd. €  
33;Manolo Portanova;800 Tsd. €  
34;Luca Clemenza;750 Tsd. €  
35;Stefano Beltrame;600 Tsd. €  
36;Matheus Pereira;450 Tsd. €  
37;Grigoris Kastanos;400 Tsd. €  
38;Nicola Mosti;250 Tsd. €  
39;Nicolò Fagioli; 
40;Cristiano Ronaldo;90,00 Mio. €  
41;Marko Pjaca;10,00 Mio. €  
42;Federico Bernardeschi;45,00 Mio. €  
43;Douglas Costa;38,00 Mio. €  
44;Riccardo Orsolini;15,00 Mio. €  
45;Paulo Dybala;85,00 Mio. €  
46;Alhassane Soumah;150 Tsd. €  
47;Giorgio Siani;75 Tsd. €  
48;Moise Kean;40,00 Mio. €  
49;Gonzalo Higuaín;35,00 Mio. €  
50;Mario Mandzukic;18,00 Mio. €  
51;Alberto Cerri;6,00 Mio. €  
52;Andrea Favilli;6,00 Mio. €  
53;Leonardo Mancuso;2,50 Mio. €  
54;Stephy Mavididi;550 Tsd. €  
55;Eric Lanini;300 Tsd. €  
56;Stefano Padovan;175 Tsd. €  
57;Davide Cais;125 Tsd. €  
58;Pablo Moreno; 
0;Alex Meret;25,00 Mio. €  
1;Luigi Sepe;5,00 Mio. €  
2;David Ospina;4,00 Mio. €  
3;Orestis Karnezis;1,50 Mio. €  
4;Nikita Contini;200 Tsd. €  
5;Davide Marfella;100 Tsd. €  
6;Maurizio Schaeper;50 Tsd. €  
7;Alessandro D'Andrea;50 Tsd. €  
8;João Pedro Piai;- 
9;Antonio Pio Daniele; 
10;Kalidou Koulibaly;75,00 Mio. €  
11;Nikola Maksimovic;17,00 Mio. €  
12;Lorenzo Tonelli;7,00 Mio. €  
13;Raúl Albiol;5,00 Mio. €  
14;Vlad Chiricheș;4,50 Mio. €  
15;Sebastiano Luperto;4,00 Mio. €  
16;Igor Lasicki;400 Tsd. €  
17;Faouzi Ghoulam;23,00 Mio. €  
18;Mário Rui;12,00 Mio. €  
19;Armando Anastasio;250 Tsd. €  
20;Luigi D'Ignazio;75 Tsd. €  
21;Elseid Hysaj;23,00 Mio. €  
22;Kévin Malcuit;16,00 Mio. €  
23;Pio Schiavi;75 Tsd. €  
24;Amadou Diawara;15,00 Mio. €  
25;Luca Palmiero;1,80 Mio. €  
26;Umberto Otranto;50 Tsd. €  
27;Allan;60,00 Mio. €  
28;Fabián Ruiz;50,00 Mio. €  
29;Piotr Zielinski;40,00 Mio. €  
30;Marek Hamsik;22,00 Mio. €  
31;Alberto Grassi;7,00 Mio. €  
32;Marko Rog;6,00 Mio. €  
33;Zinédine Machach;700 Tsd. €  
34;Mario Francesco Prezioso;250 Tsd. €  
35;Antonio Romano;200 Tsd. €  
36;Karim Zedadka;100 Tsd. €  
37;Simone Verdi;23,00 Mio. €  
38;Gianluca Gaetano;800 Tsd. €  
39;Lorenzo Insigne;65,00 Mio. €  
40;Amin Younes;8,00 Mio. €  
41;Gennaro Tutino;2,50 Mio. €  
42;Leandrinho;600 Tsd. €  
43;Alfredo Bifulco;400 Tsd. €  
44;Alessio Zerbin;150 Tsd. €  
45;Raffaele Russo;50 Tsd. €  
46;José Callejón;20,00 Mio. €  
47;Adam Ounas;10,00 Mio. €  
48;Roberto Insigne;1,60 Mio. €  
49;Amato Ciciretti;1,50 Mio. €  
50;Arkadiusz Milik;40,00 Mio. €  
51;Dries Mertens;25,00 Mio. €  
52;Roberto Inglese;15,00 Mio. €  
53;Carlos Vinícius;7,00 Mio. €  
0;Ionuț Radu;15,00 Mio. €  
1;Samir Handanovic;6,00 Mio. €  
2;Raffaele Di Gennaro;900 Tsd. €  
3;Daniele Padelli;800 Tsd. €  
4;Michele Di Gregorio;450 Tsd. €  
5;Marco Pissardo;200 Tsd. €  
6;Tommaso Berni;100 Tsd. €  
7;Milan Skriniar;60,00 Mio. €  
8;Stefan de Vrij;50,00 Mio. €  
9;Alessandro Bastoni;15,00 Mio. €  
10;Zinho Vanheusden;10,00 Mio. €  
11;Andreaw Gravillon;5,00 Mio. €  
12;Miranda;3,50 Mio. €  
13;Andrea Ranocchia;3,00 Mio. €  
14;Manuel Lombardoni;225 Tsd. €  
15;Ryan Nolan;150 Tsd. €  
16;Dalbert;10,00 Mio. €  
17;Cristian Ansaldi;5,00 Mio. €  
18;Federico Dimarco;5,00 Mio. €  
19;Andrea Cagnano;125 Tsd. €  
20;Sime Vrsaljko;20,00 Mio. €  
21;Danilo D'Ambrosio;13,00 Mio. €  
22;Cédric Soares;12,00 Mio. €  
23;Gabriele Zappa;500 Tsd. €  
24;Alessandro Mattioli;150 Tsd. €  
25;Andrea Bandini;100 Tsd. €  
26;Marcelo Brozovic;50,00 Mio. €  
27;Matías Vecino;23,00 Mio. €  
28;João Mário;18,00 Mio. €  
29;Roberto Gagliardini;15,00 Mio. €  
30;Borja Valero;2,50 Mio. €  
31;Xian Emmers;1,00 Mio. €  
32;Lorenzo Gavioli;300 Tsd. €  
33;Thomas Schirò;150 Tsd. €  
34;Maj Roric;100 Tsd. €  
35;Andrea Romanò;50 Tsd. €  
36;Tommaso Brignoli;50 Tsd. €  
37;Antonio Candreva;5,00 Mio. €  
38;Kwadwo Asamoah;13,00 Mio. €  
39;Marco Sala;300 Tsd. €  
40;Radja Nainggolan;28,00 Mio. €  
41;Rigoberto Rivas;200 Tsd. €  
42;Ivan Perisic;30,00 Mio. €  
43;Keita Baldé;25,00 Mio. €  
44;Matteo Politano;30,00 Mio. €  
45;Yann Karamoh;10,00 Mio. €  
46;Axel Bakayoko;1,75 Mio. €  
47;Matteo Rover;100 Tsd. €  
48;Vincenzo Tommasone;75 Tsd. €  
49;Moussa Souare;25 Tsd. €  
50;Mauro Icardi;80,00 Mio. €  
51;Lautaro Martínez;30,00 Mio. €  
52;Andrea Pinamonti;10,00 Mio. €  
53;Facundo Colidio;3,00 Mio. €  
54;Eddie Salcedo;2,00 Mio. €  
55;Rey Manaj;1,50 Mio. €  
56;Samuele Longo;1,00 Mio. €  
57;Davide Merola;500 Tsd. €  
58;Andrea Adorante;125 Tsd. €  
59;Sebastiano Esposito; 
0;Gianluigi Donnarumma;55,00 Mio. €  
1;Alessandro Plizzari;2,50 Mio. €  
2;Pepe Reina;1,00 Mio. €  
3;Antonio Donnarumma;500 Tsd. €  
4;Matteo Soncin; 
5;Alessio Romagnoli;50,00 Mio. €  
6;Mattia Caldara;20,00 Mio. €  
7;Mateo Musacchio;15,00 Mio. €  
8;Gustavo Gómez;3,50 Mio. €  
9;Cristián Zapata;2,00 Mio. €  
10;Matteo Gabbia;500 Tsd. €  
11;Stefan Simic;500 Tsd. €  
12;Ricardo Rodríguez;17,00 Mio. €  
13;Diego Laxalt;12,00 Mio. €  
14;Ivan Strinic;2,50 Mio. €  
15;Gian Filippo Felicioli;400 Tsd. €  
16;Andrés Llamas;75 Tsd. €  
17;Davide Calabria;20,00 Mio. €  
18;Andrea Conti;15,00 Mio. €  
19;Ignazio Abate;2,00 Mio. €  
20;Raoul Bellanova;1,00 Mio. €  
21;Tiemoué Bakayoko;35,00 Mio. €  
22;Manuel Locatelli;12,00 Mio. €  
23;Lucas Biglia;6,00 Mio. €  
24;Riccardo Montolivo;500 Tsd. €  
25;Alexandro Cavagnera;100 Tsd. €  
26;Franck Kessié;33,00 Mio. €  
27;Giacomo Bonaventura;20,00 Mio. €  
28;Andrea Bertolacci;3,00 Mio. €  
29;José Mauri;1,00 Mio. €  
30;Emanuele Torrasi;50 Tsd. €  
31;Marco Brescianini;50 Tsd. €  
32;Tiago Dias;150 Tsd. €  
33;Lucas Paquetá;35,00 Mio. €  
34;Hakan Calhanoglu;20,00 Mio. €  
35;Alen Halilovic;2,00 Mio. €  
36;Fabio Borini;7,00 Mio. €  
37;Suso;40,00 Mio. €  
38;Samu Castillejo;18,00 Mio. €  
39;Krzysztof Piatek;40,00 Mio. €  
40;Gonzalo Higuaín;35,00 Mio. €  
41;Patrick Cutrone;28,00 Mio. €  
42;André Silva;22,00 Mio. €  
43;Frank Tsadjout;100 Tsd. €  
44;Ismet Sinani;50 Tsd. €  
0;Robin Olsen;7,50 Mio. €  
1;Antonio Mirante;800 Tsd. €  
2;Lorenzo Crisanto;100 Tsd. €  
3;Daniel Fuzato;100 Tsd. €  
4;Stefano Greco;75 Tsd. €  
5;Andrea Romagnoli;25 Tsd. €  
6;Matteo Cardinali; 
7;Konstantinos Manolas;45,00 Mio. €  
8;Juan Jesus;9,00 Mio. €  
9;Federico Fazio;6,00 Mio. €  
10;Iván Marcano;4,00 Mio. €  
11;Elio Capradossi;2,00 Mio. €  
12;William Bianda;2,00 Mio. €  
13;Matias Nani;250 Tsd. €  
14;Riccardo Cargnelutti;125 Tsd. €  
15;Aleksandar Kolarov;8,00 Mio. €  
16;Moustapha Seck;200 Tsd. €  
17;Lorenzo Valeau;200 Tsd. €  
18;Francesco Semeraro; 
19;Alessandro Florenzi;25,00 Mio. €  
20;Rick Karsdorp;7,00 Mio. €  
21;Davide Santon;5,00 Mio. €  
22;Andrea Paolelli;50 Tsd. €  
23;Steven Nzonzi;23,00 Mio. €  
24;Maxime Gonalons;4,00 Mio. €  
25;Daniele De Rossi;1,50 Mio. €  
26;Andrea Marcucci;300 Tsd. €  
27;Lorenzo Pellegrini;35,00 Mio. €  
28;Bryan Cristante;25,00 Mio. €  
29;Kevin Strootman;20,00 Mio. €  
30;Gerson;13,00 Mio. €  
31;Christian D'Urso;450 Tsd. €  
32;Salvatore Pezzella;300 Tsd. €  
33;Alessandro Bordin;200 Tsd. €  
34;Emanuele Spinozzi;150 Tsd. €  
35;Luca Pellegrini;5,00 Mio. €  
36;Nicolò Zaniolo;40,00 Mio. €  
37;Javier Pastore;15,00 Mio. €  
38;Ante Coric;6,00 Mio. €  
39;Lorenzo Di Livio;150 Tsd. €  
40;Alessio Riccardi; 
41;Stephan El Shaarawy;30,00 Mio. €  
42;Justin Kluivert;20,00 Mio. €  
43;Diego Perotti;12,00 Mio. €  
44;Ludovico D'Orazio;150 Tsd. €  
45;Keba Coly;75 Tsd. €  
46;Gianmarco Cangiano; 
47;Cengiz Ünder;35,00 Mio. €  
48;Daniele Verde;2,50 Mio. €  
49;Mirko Antonucci;500 Tsd. €  
50;Patrik Schick;15,00 Mio. €  
51;Edin Dzeko;14,00 Mio. €  
52;Grégoire Defrel;12,00 Mio. €  
53;Ezequiel Ponce;4,00 Mio. €  
54;Umar Sadiq;1,40 Mio. €  
55;Zan Celar;800 Tsd. €  
56;Edoardo Soleri;150 Tsd. €  
0;Alban Lafont;17,00 Mio. €  
1;Bartlomiej Dragowski;10,00 Mio. €  
2;Pietro Terracciano;800 Tsd. €  
3;Michele Cerofolini;275 Tsd. €  
4;Federico Brancolini;100 Tsd. €  
5;Simone Ghidotti;100 Tsd. €  
6;Nikola Milenkovic;30,00 Mio. €  
7;Germán Pezzella;18,00 Mio. €  
8;Vitor Hugo;7,50 Mio. €  
9;Jacob Rasmussen;4,00 Mio. €  
10;Federico Ceccherini;3,50 Mio. €  
11;David Hancko;2,50 Mio. €  
12;Petko Hristov;500 Tsd. €  
13;Georgios Antzoulas;250 Tsd. €  
14;Pierluigi Pinto;200 Tsd. €  
15;Cristiano Biraghi;10,00 Mio. €  
16;Luca Ranieri;2,00 Mio. €  
17;Maximiliano Olivera;800 Tsd. €  
18;Luca Zanon;100 Tsd. €  
19;Lorenzo Venuti;2,00 Mio. €  
20;Vincent Laurini;1,50 Mio. €  
21;Kevin Diks;1,40 Mio. €  
22;Gabriele Ferrarini;100 Tsd. €  
23;Christian Nörgaard;2,00 Mio. €  
24;Andrés Schetino;200 Tsd. €  
25;Jordan Veretout;20,00 Mio. €  
26;Marco Benassi;20,00 Mio. €  
27;Gerson;13,00 Mio. €  
28;Edimilson Fernandes;8,00 Mio. €  
29;Szymon Zurkowski;4,00 Mio. €  
30;Bryan Dabo;3,50 Mio. €  
31;Gaetano Castrovilli;1,80 Mio. €  
32;Sebastián Cristóforo;1,80 Mio. €  
33;Nicky Beloko;400 Tsd. €  
34;Luzayadio Bangu;275 Tsd. €  
35;Amidu Salifu;125 Tsd. €  
36;Erald Lakti;100 Tsd. €  
37;Riccardo Saponara;8,50 Mio. €  
38;Valentin Eysseric;3,00 Mio. €  
39;Tòfol Montiel;1,00 Mio. €  
40;Marco Meli;200 Tsd. €  
41;Marko Pjaca;10,00 Mio. €  
42;Riccardo Sottil;1,50 Mio. €  
43;Rafik Zekhnini;1,00 Mio. €  
44;Jaime Báez;900 Tsd. €  
45;Giuseppe Caso;125 Tsd. €  
46;Federico Chiesa;60,00 Mio. €  
47;Kevin Mirallas;5,00 Mio. €  
48;Christian Koffi;150 Tsd. €  
49;Mattia Trovato;125 Tsd. €  
50;Cyril Théréau;500 Tsd. €  
51;Giovanni Simeone;20,00 Mio. €  
52;Luis Muriel;13,00 Mio. €  
53;Dusan Vlahovic;1,50 Mio. €  
54;Gabriele Gori;500 Tsd. €  
55;Martin Graiciar;500 Tsd. €  
0;Alban Lafont;17,00 Mio. €  
1;Bartlomiej Dragowski;10,00 Mio. €  
2;Pietro Terracciano;800 Tsd. €  
3;Michele Cerofolini;275 Tsd. €  
4;Federico Brancolini;100 Tsd. €  
5;Simone Ghidotti;100 Tsd. €  
6;Nikola Milenkovic;30,00 Mio. €  
7;Germán Pezzella;18,00 Mio. €  
8;Vitor Hugo;7,50 Mio. €  
9;Jacob Rasmussen;4,00 Mio. €  
10;Federico Ceccherini;3,50 Mio. €  
11;David Hancko;2,50 Mio. €  
12;Petko Hristov;500 Tsd. €  
13;Georgios Antzoulas;250 Tsd. €  
14;Pierluigi Pinto;200 Tsd. €  
15;Cristiano Biraghi;10,00 Mio. €  
16;Luca Ranieri;2,00 Mio. €  
17;Maximiliano Olivera;800 Tsd. €  
18;Luca Zanon;100 Tsd. €  
19;Lorenzo Venuti;2,00 Mio. €  
20;Vincent Laurini;1,50 Mio. €  
21;Kevin Diks;1,40 Mio. €  
22;Gabriele Ferrarini;100 Tsd. €  
23;Christian Nörgaard;2,00 Mio. €  
24;Andrés Schetino;200 Tsd. €  
25;Jordan Veretout;20,00 Mio. €  
26;Marco Benassi;20,00 Mio. €  
27;Gerson;13,00 Mio. €  
28;Edimilson Fernandes;8,00 Mio. €  
29;Szymon Zurkowski;4,00 Mio. €  
30;Bryan Dabo;3,50 Mio. €  
31;Gaetano Castrovilli;1,80 Mio. €  
32;Sebastián Cristóforo;1,80 Mio. €  
33;Nicky Beloko;400 Tsd. €  
34;Luzayadio Bangu;275 Tsd. €  
35;Amidu Salifu;125 Tsd. €  
36;Erald Lakti;100 Tsd. €  
37;Riccardo Saponara;8,50 Mio. €  
38;Valentin Eysseric;3,00 Mio. €  
39;Tòfol Montiel;1,00 Mio. €  
40;Marco Meli;200 Tsd. €  
41;Marko Pjaca;10,00 Mio. €  
42;Riccardo Sottil;1,50 Mio. €  
43;Rafik Zekhnini;1,00 Mio. €  
44;Jaime Báez;900 Tsd. €  
45;Giuseppe Caso;125 Tsd. €  
46;Federico Chiesa;60,00 Mio. €  
47;Kevin Mirallas;5,00 Mio. €  
48;Christian Koffi;150 Tsd. €  
49;Mattia Trovato;125 Tsd. €  
50;Cyril Théréau;500 Tsd. €  
51;Giovanni Simeone;20,00 Mio. €  
52;Luis Muriel;13,00 Mio. €  
53;Dusan Vlahovic;1,50 Mio. €  
54;Gabriele Gori;500 Tsd. €  
55;Martin Graiciar;500 Tsd. €  
0;Thomas Strakosha;20,00 Mio. €  
1;Ivan Vargic;400 Tsd. €  
2;Silvio Proto;400 Tsd. €  
3;Guido Guerrieri;300 Tsd. €  
4;Marius Adamonis;175 Tsd. €  
5;Marco Alia;100 Tsd. €  
6;Alessio Furlanetto; 
7;Francesco Acerbi;12,00 Mio. €  
8;Luiz Felipe;10,00 Mio. €  
9;Wallace;6,50 Mio. €  
10;Stefan Radu;5,00 Mio. €  
11;Bastos;4,00 Mio. €  
12;Patric;1,80 Mio. €  
13;Martín Cáceres;1,50 Mio. €  
14;Jorge Silva;50 Tsd. €  
15;Sergio Kalaj;25 Tsd. €  
16;Nicolò Armini; 
17;Jordan Lukaku;6,00 Mio. €  
18;Riza Durmisi;4,00 Mio. €  
19;Lorenzo Filippini;175 Tsd. €  
20;Adam Marusic;7,00 Mio. €  
21;Tiago Casasola;500 Tsd. €  
22;Dusan Basta;200 Tsd. €  
23;Giorgio Spizzichino;125 Tsd. €  
24;Mauro Zitelli;50 Tsd. €  
25;Roberto De Angelis; 
26;Lucas Leiva;9,00 Mio. €  
27;Milan Badelj;9,00 Mio. €  
28;Davide Di Gennaro;700 Tsd. €  
29;Alessio Bianchi;50 Tsd. €  
30;Sergej Milinkovic-Savic;65,00 Mio. €  
31;Valon Berisha;7,00 Mio. €  
32;Alessandro Murgia;5,00 Mio. €  
33;Danilo Cataldi;4,00 Mio. €  
34;Marco Parolo;3,00 Mio. €  
35;Rômulo;2,50 Mio. €  
36;Bruno Jordão;1,00 Mio. €  
37;Joseph Marie Minala;800 Tsd. €  
38;Daniel Bezziccheri;125 Tsd. €  
39;Edoardo Rezzi;75 Tsd. €  
40;Abukar Mohamed;75 Tsd. €  
41;Djavan Anderson;300 Tsd. €  
42;Senad Lulic;4,00 Mio. €  
43;Luis Alberto;28,00 Mio. €  
44;André Anderson;900 Tsd. €  
45;Pedro Neto;2,50 Mio. €  
46;Ricardo Kishna;1,00 Mio. €  
47;Mattia Sprocati;1,50 Mio. €  
48;Cristiano Lombardi;700 Tsd. €  
49;Alessandro Cerbara; 
50;Joaquín Correa;20,00 Mio. €  
51;Ciro Immobile;40,00 Mio. €  
52;Felipe Caicedo;3,00 Mio. €  
53;Simone Palombi;900 Tsd. €  
54;Alessandro Rossi;400 Tsd. €  
55;Mamadou Tounkara;225 Tsd. €  
56;Luan Capanni;100 Tsd. €  
0;Pierluigi Gollini;6,00 Mio. €  
1;Marco Sportiello;4,00 Mio. €  
2;Etrit Berisha;3,00 Mio. €  
3;Boris Radunović;900 Tsd. €  
4;Marco Carnesecchi;300 Tsd. €  
5;Alessandro Santopadre;100 Tsd. €  
6;Francesco Rossi;100 Tsd. €  
7;Alessandro Turrin;75 Tsd. €  
8;Stefano Mazzini;75 Tsd. €  
9;Roberto Taliento;75 Tsd. €  
10;Gianluca Mancini;22,00 Mio. €  
11;Rafael Tolói;11,00 Mio. €  
12;José Luis Palomino;10,00 Mio. €  
13;Berat Djimsiti;7,50 Mio. €  
14;Roger Ibañez;3,00 Mio. €  
15;Marco Varnier;2,50 Mio. €  
16;Andrea Masiello;1,00 Mio. €  
17;Davide Bettella;1,00 Mio. €  
18;Emanuele Suagher;300 Tsd. €  
19;Anton Krešić;300 Tsd. €  
20;Alberto Dossena;300 Tsd. €  
21;Andrea Boffelli;150 Tsd. €  
22;Riccardo Gatti;125 Tsd. €  
23;Stefano Marchetti;100 Tsd. €  
24;Alberto Alari;75 Tsd. €  
25;Matteo Salvi;50 Tsd. €  
26;Caleb Okoli; 
27;Robin Gosens;8,00 Mio. €  
28;Ali Adnan;1,60 Mio. €  
29;Fabio Eguelfi;400 Tsd. €  
30;Patrick Asmah;200 Tsd. €  
31;Eyob Zambataro;200 Tsd. €  
32;Lorenzo Migliorelli;125 Tsd. €  
33;Enrico Zanoni;100 Tsd. €  
34;Mbaye Seck;50 Tsd. €  
35;Timothy Castagne;18,00 Mio. €  
36;Hans Hateboer;15,00 Mio. €  
37;Federico Mattiello;2,50 Mio. €  
38;Alberto Almici;500 Tsd. €  
39;Enrico Del Prato;500 Tsd. €  
40;Nicolò Fazzi;300 Tsd. €  
41;Alessandro Eleuteri;250 Tsd. €  
42;Christian Mora;225 Tsd. €  
43;Lorenzo Peli;200 Tsd. €  
44;Alberto Carminati;50 Tsd. €  
45;Federico Chiossi;50 Tsd. €  
46;Marten de Roon;24,00 Mio. €  
47;Marco Carraro;1,30 Mio. €  
48;Nicolas La Vigna;175 Tsd. €  
49;Thomas Bolis;150 Tsd. €  
50;Franck Kessié;33,00 Mio. €  
51;Bryan Cristante;25,00 Mio. €  
52;Remo Freuler;20,00 Mio. €  
53;Mario Pasalic;10,00 Mio. €  
54;Nicolas Haas;2,00 Mio. €  
55;Luca Valzania;1,70 Mio. €  
56;Matteo Pessina;1,50 Mio. €  
57;Filippo Melegoni;1,00 Mio. €  
58;Davide Agazzi;800 Tsd. €  
59;Andrea Colpani;400 Tsd. €  
60;Tommaso Tentoni;175 Tsd. €  
61;Isnik Alimi;150 Tsd. €  
62;Mario Pugliese;150 Tsd. €  
63;Roberto Ranieri;150 Tsd. €  
64;Modou Badjie;50 Tsd. €  
65;Denis Hergheligiu;50 Tsd. €  
66;Marco D'Alessandro;2,00 Mio. €  
67;Arkadiusz Reca;3,50 Mio. €  
68;Christian Capone;1,30 Mio. €  
69;Nicolò Cambiaghi;400 Tsd. €  
70;Alessandro Mallamo;225 Tsd. €  
71;Gabriel Lunetta;200 Tsd. €  
72;Emiliano Rigoni;8,00 Mio. €  
73;Dejan Kulusevski;1,00 Mio. €  
74;Emmanuel Latte Lath;250 Tsd. €  
75;Tiziano Tulissi;225 Tsd. €  
76;Josip Ilicic;17,00 Mio. €  
77;Papu Gómez;16,00 Mio. €  
78;Duván Zapata;40,00 Mio. €  
79;Andrea Petagna;20,00 Mio. €  
80;Musa Barrow;5,00 Mio. €  
81;Andreas Cornelius;3,00 Mio. €  
82;Luca Vido;2,50 Mio. €  
83;Marco Tumminello;2,30 Mio. €  
84;Gaetano Monachello;500 Tsd. €  
85;Simone Mazzocchi;150 Tsd. €  
86;Giacomo Parigi;100 Tsd. €  
87;Roberto Piccoli; 
0;Salvatore Sirigu;7,50 Mio. €  
1;Vanja Milinković-Savić;1,20 Mio. €  
2;Andrea Zaccagno;475 Tsd. €  
3;Salvador Ichazo;400 Tsd. €  
4;Tommaso Cucchietti;225 Tsd. €  
5;Antonio Rosati;200 Tsd. €  
6;Luca Gemello;100 Tsd. €  
7;Armando Izzo;20,00 Mio. €  
8;Nicolas N'Koulou;20,00 Mio. €  
9;Lyanco;8,00 Mio. €  
10;Kevin Bonifazi;5,50 Mio. €  
11;Koffi Djidji;5,00 Mio. €  
12;Bremer;2,00 Mio. €  
13;Danilo Avelar;1,50 Mio. €  
14;Carlão;500 Tsd. €  
15;Alessandro Buongiorno;500 Tsd. €  
16;Emiliano Moretti;500 Tsd. €  
17;Erick Ferigra;300 Tsd. €  
